
Version;N;BS;T;Exec time;GFlops
opt_0_1;4096;32;56;1.95;70.3592
opt_0_1;4096;32;56;2.08;66.1169
opt_0_1;4096;32;56;2.12;64.7135
opt_0_1;4096;64;56;1.73;79.4055
opt_0_1;4096;64;56;1.86;73.7340
opt_0_1;4096;64;56;1.88;73.2252
opt_0_1;4096;128;56;2.23;61.6588
opt_0_1;4096;128;56;2.00;68.8230
opt_0_1;4096;128;56;2.09;65.8917
opt_0_1;4096;32;112;1.61;85.2198
opt_0_1;4096;32;112;2.00;68.5858
opt_0_1;4096;32;112;1.63;84.2849
opt_0_1;4096;64;112;1.53;89.6834
opt_0_1;4096;64;112;1.48;93.1301
opt_0_1;4096;64;112;1.50;91.7961
opt_0_1;4096;128;112;1.59;86.5658
opt_0_1;4096;128;112;1.56;88.3453
opt_0_1;4096;128;112;1.63;84.4625
opt_0_1;8192;32;56;12.90;85.2084
opt_0_1;8192;32;56;12.51;87.8587
opt_0_1;8192;32;56;12.29;89.5000
opt_0_1;8192;64;56;10.31;106.6202
opt_0_1;8192;64;56;10.38;105.9114
opt_0_1;8192;64;56;11.09;99.1451
opt_0_1;8192;128;56;12.65;86.9434
opt_0_1;8192;128;56;12.76;86.1977
opt_0_1;8192;128;56;12.66;86.8669
opt_0_1;8192;32;112;8.92;123.2347
opt_0_1;8192;32;112;9.11;120.6300
opt_0_1;8192;32;112;9.03;121.8062
opt_0_1;8192;64;112;8.11;135.5006
opt_0_1;8192;64;112;7.94;138.5044
opt_0_1;8192;64;112;7.97;137.9509
opt_0_1;8192;128;112;9.08;121.0559
opt_0_1;8192;128;112;9.05;121.4851
opt_0_1;8192;128;112;9.13;120.3758
opt_0_1;16384;32;56;74.61;117.8947
opt_0_1;16384;32;56;75.40;116.6640
opt_0_1;16384;32;56;75.06;117.1816
opt_0_1;16384;64;56;63.63;138.2281
opt_0_1;16384;64;56;63.06;139.4802
opt_0_1;16384;64;56;63.59;138.3260
opt_0_1;16384;128;56;77.99;112.7867
opt_0_1;16384;128;56;78.07;112.6736
opt_0_1;16384;128;56;78.42;112.1600
opt_0_1;16384;32;112;64.93;135.4789
opt_0_1;16384;32;112;64.89;135.5603
opt_0_1;16384;32;112;64.82;135.6979
opt_0_1;16384;64;112;59.47;147.9034
opt_0_1;16384;64;112;59.38;148.1440
opt_0_1;16384;64;112;59.45;147.9525
opt_0_1;16384;128;112;65.51;134.2704
opt_0_1;16384;128;112;65.59;134.1035
opt_0_1;16384;128;112;65.60;134.0804
opt_2;4096;32;56;2.65;51.7789
opt_2;4096;32;56;2.77;49.5426
opt_2;4096;32;56;2.66;51.5735
opt_2;4096;64;56;2.63;52.3227
opt_2;4096;64;56;2.44;56.3311
opt_2;4096;64;56;2.50;54.8970
opt_2;4096;128;56;2.87;47.9168
opt_2;4096;128;56;2.86;47.9961
opt_2;4096;128;56;3.05;45.0929
opt_2;4096;32;112;2.09;65.8467
opt_2;4096;32;112;2.20;62.5309
opt_2;4096;32;112;2.10;65.5693
opt_2;4096;64;112;1.75;78.7535
opt_2;4096;64;112;1.77;77.4487
opt_2;4096;64;112;1.70;80.6765
opt_2;4096;128;112;2.03;67.6448
opt_2;4096;128;112;2.00;68.7056
opt_2;4096;128;112;1.89;72.5357
opt_2;8192;32;56;14.81;74.2293
opt_2;8192;32;56;15.01;73.2495
opt_2;8192;32;56;15.21;72.2661
opt_2;8192;64;56;14.44;76.1336
opt_2;8192;64;56;14.63;75.1499
opt_2;8192;64;56;14.08;78.0847
opt_2;8192;128;56;16.31;67.4173
opt_2;8192;128;56;16.06;68.4417
opt_2;8192;128;56;16.01;68.6935
opt_2;8192;32;112;12.35;89.0015
opt_2;8192;32;112;12.30;89.3768
opt_2;8192;32;112;12.27;89.5852
opt_2;8192;64;112;11.11;99.0062
opt_2;8192;64;112;11.18;98.3374
opt_2;8192;64;112;11.25;97.7206
opt_2;8192;128;112;12.70;86.5621
opt_2;8192;128;112;12.67;86.7918
opt_2;8192;128;112;12.61;87.1719
opt_2;16384;32;56;94.43;93.1492
opt_2;16384;32;56;94.74;92.8482
opt_2;16384;32;56;94.63;92.9505
opt_2;16384;64;56;91.09;96.5640
opt_2;16384;64;56;91.87;95.7486
opt_2;16384;64;56;91.73;95.8899
opt_2;16384;128;56;98.98;88.8675
opt_2;16384;128;56;99.01;88.8422
opt_2;16384;128;56;98.95;88.8904
opt_2;16384;32;112;93.31;94.2691
opt_2;16384;32;112;93.43;94.1489
opt_2;16384;32;112;93.46;94.1155
opt_2;16384;64;112;85.21;103.2292
opt_2;16384;64;112;85.18;103.2591
opt_2;16384;64;112;85.11;103.3445
opt_2;16384;128;112;95.86;91.7573
opt_2;16384;128;112;95.82;91.7987
opt_2;16384;128;112;95.78;91.8357
opt_3;4096;32;56;1.09;125.8291
opt_3;4096;32;56;1.14;121.0336
opt_3;4096;32;56;1.18;116.2438
opt_3;4096;64;56;1.04;131.8118
opt_3;4096;64;56;1.00;137.2261
opt_3;4096;64;56;0.97;141.8795
opt_3;4096;128;56;1.12;122.5812
opt_3;4096;128;56;1.07;129.0238
opt_3;4096;128;56;1.12;122.3702
opt_3;4096;32;112;1.38;99.9036
opt_3;4096;32;112;1.44;95.1662
opt_3;4096;32;112;1.49;92.0765
opt_3;4096;64;112;1.00;137.6751
opt_3;4096;64;112;1.03;133.1830
opt_3;4096;64;112;1.08;126.7964
opt_3;4096;128;112;1.32;104.1011
opt_3;4096;128;112;1.08;127.4794
opt_3;4096;128;112;1.34;102.6834
opt_3;8192;32;56;35.18;31.2559
opt_3;8192;32;56;31.49;34.9201
opt_3;8192;32;56;32.86;33.4638
opt_3;8192;64;56;30.22;36.3879
opt_3;8192;64;56;20.19;54.4607
opt_3;8192;64;56;20.36;54.0122
opt_3;8192;128;56;6.94;158.3291
opt_3;8192;128;56;21.18;51.9020
opt_3;8192;128;56;27.27;40.3257
opt_3;8192;32;112;9.47;116.0995
opt_3;8192;32;112;9.86;111.4728
opt_3;8192;32;112;9.55;115.1257
opt_3;8192;64;112;10.78;102.0009
opt_3;8192;64;112;11.42;96.3084
opt_3;8192;64;112;10.84;101.3861
opt_3;8192;128;112;9.54;115.2970
opt_3;8192;128;112;10.35;106.2781
opt_3;8192;128;112;11.06;99.4407
opt_3;16384;32;56;487.20;18.0545
opt_3;16384;32;56;566.02;15.5402
opt_3;16384;32;56;570.03;15.4310
opt_3;16384;64;56;560.44;15.6950
opt_3;16384;64;56;470.96;18.6768
opt_3;16384;64;56;524.11;16.7828
opt_3;16384;128;56;516.71;17.0231
opt_3;16384;128;56;
