Version;N;BS;T;Exec time;GFlops
opt_4;4096;32;56;1,17;117,7578
opt_4;4096;32;56;0,99;138,2866
opt_4;4096;32;56;1,04;132,3973
opt_4;4096;64;56;0,84;163,7391
opt_4;4096;64;56;0,88;157,0309
opt_4;4096;64;56;0,86;159,3715
opt_4;4096;128;56;0,92;149,4894
opt_4;4096;128;56;0,87;158,5740
opt_4;4096;128;56;0,87;158,6061
opt_4;4096;32;112;1,43;95,7949
opt_4;4096;32;112;1,35;101,9500
opt_4;4096;32;112;1,38;99,6421
opt_4;4096;64;112;1,41;97,5700
opt_4;4096;64;112;0,87;158,4696
opt_4;4096;64;112;1,07;128,6989
opt_4;4096;128;112;0,98;140,6975
opt_4;4096;128;112;0,96;142,9058
opt_4;4096;128;112;1,28;107,4153
opt_4;8192;32;56;8,59;127,9801
opt_4;8192;32;56;9,89;111,1800
opt_4;8192;32;56;8,31;132,2981
opt_4;8192;64;56;5,40;203,7729
opt_4;8192;64;56;6,67;164,7752
opt_4;8192;64;56;6,61;166,3170
opt_4;8192;128;56;6,50;169,0322
opt_4;8192;128;56;5,83;188,5546
opt_4;8192;128;56;7,36;149,4317
opt_4;8192;32;112;7,35;149,6036
opt_4;8192;32;112;7,25;151,6538
opt_4;8192;32;112;7,09;155,0976
opt_4;8192;64;112;4,38;251,1258
opt_4;8192;64;112;4,20;261,9141
opt_4;8192;64;112;4,20;261,6539
opt_4;8192;128;112;4,03;272,5151
opt_4;8192;128;112;4,10;268,2561
opt_4;8192;128;112;3,95;278,5534
opt_4;16384;32;56;114,64;76,7250
opt_4;16384;32;56;146,67;59,9718
opt_4;16384;32;56;133,02;66,1284
opt_4;16384;64;56;104,84;83,9013
opt_4;16384;64;56;110,41;79,6640
opt_4;16384;64;56;125,22;70,2448
opt_4;16384;128;56;84,40;104,2246
opt_4;16384;128;56;107,11;82,1234
opt_4;16384;128;56;103,49;84,9957
opt_4;16384;32;112;75,85;115,9610
opt_4;16384;32;112;75,70;116,1917
opt_4;16384;32;112;74,91;117,4275
opt_4;16384;64;112;51,51;170,7633
opt_4;16384;64;112;64,21;136,9923
opt_4;16384;64;112;57,96;151,7499
opt_4;16384;128;112;58,72;149,7997
opt_4;16384;128;112;55,28;159,1173
opt_4;16384;128;112;35,05;250,9243
opt_5;4096;32;56;1,09;126,2280
opt_5;4096;32;56;1,11;124,3410
opt_5;4096;32;56;1,03;134,0016
opt_5;4096;64;56;0,73;187,9983
opt_5;4096;64;56;0,75;183,1875
opt_5;4096;64;56;0,73;187,7804
opt_5;4096;128;56;0,71;193,4106
opt_5;4096;128;56;0,75;184,2899
opt_5;4096;128;56;0,77;177,8507
opt_5;4096;32;112;1,36;101,0044
opt_5;4096;32;112;1,61;85,2532
opt_5;4096;32;112;1,24;110,6532
opt_5;4096;64;112;1,04;131,9337
opt_5;4096;64;112;1,09;126,4012
opt_5;4096;64;112;0,92;149,9906
opt_5;4096;128;112;1,15;119,4804
opt_5;4096;128;112;1,21;113,3005
opt_5;4096;128;112;0,98;140,9429
opt_5;8192;32;56;8,62;127,6028
opt_5;8192;32;56;6,66;165,0576
opt_5;8192;32;56;6,70;164,0894
opt_5;8192;64;56;6,29;174,7795
opt_5;8192;64;56;5,80;189,7013
opt_5;8192;64;56;7,47;147,1624
opt_5;8192;128;56;5,54;198,5725
opt_5;8192;128;56;5,46;201,4701
opt_5;8192;128;56;5,49;200,4488
opt_5;8192;32;112;7,08;155,2149
opt_5;8192;32;112;7,18;153,0553
opt_5;8192;32;112;7,20;152,6460
opt_5;8192;64;112;3,76;292,3643
opt_5;8192;64;112;3,76;292,5625
opt_5;8192;64;112;3,78;290,7600
opt_5;8192;128;112;3,19;344,5572
opt_5;8192;128;112;3,21;342,9710
opt_5;8192;128;112;3,23;340,3818
opt_5;16384;32;56;134,63;65,3372
opt_5;16384;32;56;117,86;74,6301
opt_5;16384;32;56;102,99;85,4058
opt_5;16384;64;56;106,70;82,4361
opt_5;16384;64;56;104,20;84,4140
opt_5;16384;64;56;94,78;92,8093
opt_5;16384;128;56;112,93;77,8904
opt_5;16384;128;56;92,69;94,8937
opt_5;16384;128;56;99,26;88,6209
opt_5;16384;32;112;45,23;194,4820
opt_5;16384;32;112;53,59;164,1295
opt_5;16384;32;112;61,65;142,6785
opt_5;16384;64;112;47,22;186,2646
opt_5;16384;64;112;33,63;261,5440
opt_5;16384;64;112;39,08;225,0864
opt_5;16384;128;112;28,55;308,0907
opt_5;16384;128;112;27,26;322,6340
opt_5;16384;128;112;53,16;165,4727
opt_6;4096;32;56;0,81;169,8755
opt_6;4096;32;56;0,80;170,8505
opt_6;4096;32;56;0,77;179,5393
opt_6;4096;64;56;0,71;192,6243
opt_6;4096;64;56;0,66;207,8421
opt_6;4096;64;56;0,67;206,4770
opt_6;4096;128;56;0,63;218,2999
opt_6;4096;128;56;0,58;237,8920
opt_6;4096;128;56;0,62;219,9843
opt_6;4096;32;112;1,11;123,5013
opt_6;4096;32;112;1,26;108,8348
opt_6;4096;32;112;1,05;131,1004
opt_6;4096;64;112;1,08;127,2519
opt_6;4096;64;112;1,11;124,1723
opt_6;4096;64;112;1,07;128,9932
opt_6;4096;128;112;1,06;130,2503
opt_6;4096;128;112;0,99;138,1889
opt_6;4096;128;112;0,97;141,5055
opt_6;8192;32;56;4,87;226,0007
opt_6;8192;32;56;4,73;232,2164
opt_6;8192;32;56;4,73;232,2900
opt_6;8192;64;56;4,26;257,8363
opt_6;8192;64;56;4,73;232,5908
opt_6;8192;64;56;4,66;236,1870
opt_6;8192;128;56;3,49;314,6724
opt_6;8192;128;56;3,66;300,6298
opt_6;8192;128;56;3,49;314,8740
opt_6;8192;32;112;3,76;292,7675
opt_6;8192;32;112;3,76;292,1738
opt_6;8192;32;112;3,75;293,3930
opt_6;8192;64;112;3,29;333,9141
opt_6;8192;64;112;3,23;339,8996
opt_6;8192;64;112;3,20;343,6843
opt_6;8192;128;112;2,58;425,9763
opt_6;8192;128;112;2,51;438,7315
opt_6;8192;128;112;2,47;444,7555
opt_6;16384;32;56;24,31;361,8115
opt_6;16384;32;56;23,33;376,9840
opt_6;16384;32;56;23,81;369,4172
opt_6;16384;64;56;25,61;343,4396
opt_6;16384;64;56;25,48;345,2361
opt_6;16384;64;56;25,29;347,7587
opt_6;16384;128;56;19,47;451,7875
opt_6;16384;128;56;18,98;463,5194
opt_6;16384;128;56;19,75;445,3328
opt_6;16384;32;112;22,77;386,2227
opt_6;16384;32;112;22,78;386,0952
opt_6;16384;32;112;22,76;386,4431
opt_6;16384;64;112;21,92;401,3652
opt_6;16384;64;112;22,22;395,8016
opt_6;16384;64;112;22,09;398,1958
opt_6;16384;128;112;16,36;537,6874
opt_6;16384;128;112;16,66;527,8899
opt_6;16384;128;112;16,21;542,7703
