Version;N;BS;T;Exec time;GFlops
inc1_o78;4096;32;56;0,55;247,8673
inc1_o78;4096;32;56;0,55;249,7224
inc1_o78;4096;32;56;0,55;250,3296
inc1_o78;4096;64;56;0,43;319,2187
inc1_o78;4096;64;56;0,43;319,1453
inc1_o78;4096;64;56;0,43;319,6396
inc1_o78;4096;128;56;0,40;341,9125
inc1_o78;4096;128;56;0,40;340,7784
inc1_o78;4096;128;56;0,40;342,3633
inc1_o78;4096;32;112;0,68;201,3843
inc1_o78;4096;32;112;0,69;200,1208
inc1_o78;4096;32;112;0,69;200,3431
inc1_o78;4096;64;112;0,47;292,0144
inc1_o78;4096;64;112;0,47;290,9771
inc1_o78;4096;64;112;0,47;290,6018
inc1_o78;4096;128;112;0,43;322,6849
inc1_o78;4096;128;112;0,43;322,3511
inc1_o78;4096;128;112;0,43;320,1734
inc1_o78;8192;32;56;3,72;295,3453
inc1_o78;8192;32;56;3,72;295,4746
inc1_o78;8192;32;56;3,72;295,2143
inc1_o78;8192;64;56;2,79;393,7199
inc1_o78;8192;64;56;2,80;393,3288
inc1_o78;8192;64;56;2,79;393,4295
inc1_o78;8192;128;56;2,40;458,5852
inc1_o78;8192;128;56;2,40;457,4380
inc1_o78;8192;128;56;2,40;458,9012
inc1_o78;8192;32;112;3,87;283,9907
inc1_o78;8192;32;112;3,87;283,8088
inc1_o78;8192;32;112;3,88;283,5367
inc1_o78;8192;64;112;2,88;381,1952
inc1_o78;8192;64;112;2,89;380,7627
inc1_o78;8192;64;112;2,89;380,2482
inc1_o78;8192;128;112;2,40;458,6051
inc1_o78;8192;128;112;2,40;458,3073
inc1_o78;8192;128;112;2,40;458,0205
inc1_o78;16384;32;56;23,89;368,1832
inc1_o78;16384;32;56;23,82;369,2310
inc1_o78;16384;32;56;23,83;369,0845
inc1_o78;16384;64;56;20,41;430,9206
inc1_o78;16384;64;56;20,72;424,5405
inc1_o78;16384;64;56;20,71;424,6967
inc1_o78;16384;128;56;17,95;490,0617
inc1_o78;16384;128;56;17,97;489,6155
inc1_o78;16384;128;56;17,97;489,4774
inc1_o78;16384;32;112;23,79;369,7679
inc1_o78;16384;32;112;23,81;369,3726
inc1_o78;16384;32;112;24,55;358,2643
inc1_o78;16384;64;112;20,71;424,7947
inc1_o78;16384;64;112;20,73;424,2479
inc1_o78;16384;64;112;20,71;424,6901
inc1_o78;16384;128;112;17,34;507,1481
inc1_o78;16384;128;112;17,36;506,7838
inc1_o78;16384;128;112;17,24;510,2137

