Version;N;BS;T;Exec time;GFlops
inc1_o78;4096;32;56;0,52;261,8952
inc1_o78;4096;32;56;0,52;262,9570
inc1_o78;4096;32;56;0,52;263,8368
inc1_o78;4096;64;56;0,39;353,1218
inc1_o78;4096;64;56;0,39;355,2807
inc1_o78;4096;64;56;0,39;354,2935
inc1_o78;4096;128;56;0,36;386,8480
inc1_o78;4096;128;56;0,36;385,6430
inc1_o78;4096;128;56;0,36;386,7208
inc1_o78;4096;32;112;0,69;199,2747
inc1_o78;4096;32;112;0,69;199,4442
inc1_o78;4096;32;112;0,69;199,8713
inc1_o78;4096;64;112;0,47;289,9794
inc1_o78;4096;64;112;0,47;294,4234
inc1_o78;4096;64;112;0,47;293,1280
inc1_o78;4096;128;112;0,38;358,4469
inc1_o78;4096;128;112;0,38;363,3041
inc1_o78;4096;128;112;0,38;359,6269
inc1_o78;8192;32;56;3,38;325,3728
inc1_o78;8192;32;56;3,38;325,7584
inc1_o78;8192;32;56;3,38;325,0936
inc1_o78;8192;64;56;2,50;440,6060
inc1_o78;8192;64;56;2,50;440,6604
inc1_o78;8192;64;56;2,50;440,3297
inc1_o78;8192;128;56;2,06;533,9343
inc1_o78;8192;128;56;2,06;534,5417
inc1_o78;8192;128;56;2,06;533,7453
inc1_o78;8192;32;112;3,56;309,1147
inc1_o78;8192;32;112;3,57;308,1333
inc1_o78;8192;32;112;3,58;306,9879
inc1_o78;8192;64;112;2,66;412,6580
inc1_o78;8192;64;112;2,66;413,5413
inc1_o78;8192;64;112;2,67;411,1766
inc1_o78;8192;128;112;2,01;547,1464
inc1_o78;8192;128;112;2,00;548,8220
inc1_o78;8192;128;112;2,01;547,7475
inc1_o78;16384;32;56;20,14;436,6975
inc1_o78;16384;32;56;20,17;436,0429
inc1_o78;16384;32;56;20,29;433,4382
inc1_o78;16384;64;56;17,57;500,6760
inc1_o78;16384;64;56;17,70;497,0740
inc1_o78;16384;64;56;17,39;505,8721
inc1_o78;16384;128;56;14,97;587,5375
inc1_o78;16384;128;56;14,87;591,5411
inc1_o78;16384;128;56;15,01;585,9597
inc1_o78;16384;32;112;20,72;424,5436
inc1_o78;16384;32;112;20,76;423,6763
inc1_o78;16384;32;112;20,63;426,2912
inc1_o78;16384;64;112;18,48;476,0891
inc1_o78;16384;64;112;18,46;476,5772
inc1_o78;16384;64;112;18,43;477,2943
inc1_o78;16384;128;112;14,11;623,3575
inc1_o78;16384;128;112;14,10;623,6688
inc1_o78;16384;128;112;14,10;623,9958
opt_7_8;4096;32;56;0,49;278,9562
opt_7_8;4096;32;56;0,49;281,1613
opt_7_8;4096;32;56;0,49;280,1669
opt_7_8;4096;64;56;0,35;390,9035
opt_7_8;4096;64;56;0,35;389,8690
opt_7_8;4096;64;56;0,35;390,7223
opt_7_8;4096;128;56;0,38;362,7392
opt_7_8;4096;128;56;0,38;362,0578
opt_7_8;4096;128;56;0,38;360,8193
opt_7_8;4096;32;112;0,60;230,1432
opt_7_8;4096;32;112;0,60;230,7153
opt_7_8;4096;32;112;0,59;233,0833
opt_7_8;4096;64;112;0,43;319,9744
opt_7_8;4096;64;112;0,43;321,5947
opt_7_8;4096;64;112;0,43;321,1348
opt_7_8;4096;128;112;0,41;338,6255
opt_7_8;4096;128;112;0,41;338,2722
opt_7_8;4096;128;112;0,41;337,1453
opt_7_8;8192;32;56;3,21;342,6414
opt_7_8;8192;32;56;3,21;342,3560
opt_7_8;8192;32;56;3,21;342,9398
opt_7_8;8192;64;56;2,21;498,2271
opt_7_8;8192;64;56;2,20;499,2819
opt_7_8;8192;64;56;2,21;498,5097
opt_7_8;8192;128;56;2,28;482,6821
opt_7_8;8192;128;56;2,28;482,2066
opt_7_8;8192;128;56;2,28;482,4830
opt_7_8;8192;32;112;3,30;333,0741
opt_7_8;8192;32;112;3,30;332,8039
opt_7_8;8192;32;112;3,31;332,3753
opt_7_8;8192;64;112;2,41;456,5781
opt_7_8;8192;64;112;2,41;457,1107
opt_7_8;8192;64;112;2,41;456,9581
opt_7_8;8192;128;112;2,31;475,7945
opt_7_8;8192;128;112;2,31;475,3060
opt_7_8;8192;128;112;2,31;475,5050
opt_7_8;16384;32;56;19,31;455,5724
opt_7_8;16384;32;56;19,03;462,2632
opt_7_8;16384;32;56;19,67;447,1603
opt_7_8;16384;64;56;14,61;602,1621
opt_7_8;16384;64;56;14,79;594,6175
opt_7_8;16384;64;56;14,78;595,0340
opt_7_8;16384;128;56;17,03;516,4336
opt_7_8;16384;128;56;16,78;524,0900
opt_7_8;16384;128;56;16,99;517,7369
opt_7_8;16384;32;112;19,52;450,7194
opt_7_8;16384;32;112;19,32;455,3076
opt_7_8;16384;32;112;19,67;447,0917
opt_7_8;16384;64;112;15,86;554,6328
opt_7_8;16384;64;112;15,86;554,7177
opt_7_8;16384;64;112;16,03;548,6798
opt_7_8;16384;128;112;16,91;520,0364
opt_7_8;16384;128;112;16,93;519,6445
opt_7_8;16384;128;112;16,96;518,5692
