Version;N;BS;T;Exec time;GFlops
inc1_o78;4096;32;56;0,27;514,8856
inc1_o78;4096;32;56;0,27;516,8299
inc1_o78;4096;32;56;0,26;519,2666
inc1_o78;4096;64;56;0,20;684,8832
inc1_o78;4096;64;56;0,20;683,2249
inc1_o78;4096;64;56;0,20;678,4693
inc1_o78;4096;128;56;0,22;637,9686
inc1_o78;4096;128;56;0,22;632,5634
inc1_o78;4096;128;56;0,22;629,7254
inc1_o78;4096;32;112;0,38;361,0536
inc1_o78;4096;32;112;0,38;358,7501
inc1_o78;4096;32;112;0,38;360,9008
inc1_o78;4096;64;112;0,26;519,1820
inc1_o78;4096;64;112;0,27;516,6900
inc1_o78;4096;64;112;0,27;512,1669
inc1_o78;4096;128;112;0,24;573,7361
inc1_o78;4096;128;112;0,24;578,1205
inc1_o78;4096;128;112;0,24;571,0257
inc1_o78;8192;32;56;1,74;631,6295
inc1_o78;8192;32;56;1,75;628,1512
inc1_o78;8192;32;56;1,74;631,9839
inc1_o78;8192;64;56;1,21;909,2034
inc1_o78;8192;64;56;1,21;910,5474
inc1_o78;8192;64;56;1,21;906,8099
inc1_o78;8192;128;56;1,26;872,5162
inc1_o78;8192;128;56;1,26;870,4707
inc1_o78;8192;128;56;1,26;869,5324
inc1_o78;8192;32;112;1,94;567,4219
inc1_o78;8192;32;112;1,94;567,9612
inc1_o78;8192;32;112;1,93;569,5176
inc1_o78;8192;64;112;1,36;809,5942
inc1_o78;8192;64;112;1,37;802,1095
inc1_o78;8192;64;112;1,37;802,2048
inc1_o78;8192;128;112;1,32;830,7915
inc1_o78;8192;128;112;1,32;832,0955
inc1_o78;8192;128;112;1,33;826,8659
inc1_o78;16384;32;56;12,14;724,3746
inc1_o78;16384;32;56;12,15;723,7010
inc1_o78;16384;32;56;12,17;722,4818
inc1_o78;16384;64;56;8,58;1025,5915
inc1_o78;16384;64;56;8,56;1027,2430
inc1_o78;16384;64;56;8,56;1027,2414
inc1_o78;16384;128;56;9,40;935,4460
inc1_o78;16384;128;56;9,41;934,9441
inc1_o78;16384;128;56;9,41;935,1992
inc1_o78;16384;32;112;11,88;740,6370
inc1_o78;16384;32;112;11,90;739,2036
inc1_o78;16384;32;112;11,90;739,1532
inc1_o78;16384;64;112;9,37;939,2112
inc1_o78;16384;64;112;9,37;938,4118
inc1_o78;16384;64;112;9,47;929,0553
inc1_o78;16384;128;112;9,56;920,3209
inc1_o78;16384;128;112;9,56;920,1280
inc1_o78;16384;128;112;9,56;920,3661

