
Version;N;BS;T;Exec time;GFlops
opt_4;4096;32;56;0.92;150.0453
opt_4;4096;32;56;0.86;160.1397
opt_4;4096;32;56;0.86;160.5368
opt_4;4096;64;56;0.76;180.6907
opt_4;4096;64;56;0.71;194.2128
opt_4;4096;64;56;0.76;181.2378
opt_4;4096;128;56;0.83;165.6462
opt_4;4096;128;56;0.76;181.1969
opt_4;4096;128;56;0.83;166.0906
opt_4;4096;32;112;1.29;106.8581
opt_4;4096;32;112;1.28;107.6097
opt_4;4096;32;112;1.17;117.3144
opt_4;4096;64;112;1.14;120.2924
opt_4;4096;64;112;1.24;110.9493
opt_4;4096;64;112;0.99;139.1454
opt_4;4096;128;112;1.02;134.1623
opt_4;4096;128;112;1.14;120.7072
opt_4;4096;128;112;0.91;151.5300
opt_4;8192;32;56;5.66;194.3125
opt_4;8192;32;56;5.51;199.3876
opt_4;8192;32;56;5.28;208.3071
opt_4;8192;64;56;6.24;176.2958
opt_4;8192;64;56;6.22;176.8804
opt_4;8192;64;56;8.90;123.5165
opt_4;8192;128;56;5.57;197.4815
opt_4;8192;128;56;5.19;211.7466
opt_4;8192;128;56;5.64;194.7903
opt_4;8192;32;112;4.96;221.6996
opt_4;8192;32;112;5.01;219.4623
opt_4;8192;32;112;5.69;193.1530
opt_4;8192;64;112;3.55;309.7279
opt_4;8192;64;112;3.55;309.3672
opt_4;8192;64;112;3.57;308.0739
opt_4;8192;128;112;3.51;312.9321
opt_4;8192;128;112;3.59;306.2689
opt_4;8192;128;112;3.60;305.3729
opt_4;16384;32;56;100.67;87.3724
opt_4;16384;32;56;131.65;66.8158
opt_4;16384;32;56;118.28;74.3691
opt_4;16384;64;56;107.11;82.1254
opt_4;16384;64;56;81.86;107.4589
opt_4;16384;64;56;122.23;71.9609
opt_4;16384;128;56;105.86;83.0880
opt_4;16384;128;56;116.50;75.5033
opt_4;16384;128;56;116.27;75.6534
opt_4;16384;32;112;32.98;266.7445
opt_4;16384;32;112;43.71;201.2287
opt_4;16384;32;112;39.68;221.6972
opt_4;16384;64;112;25.52;344.6266
opt_4;16384;64;112;39.95;220.1631
opt_4;16384;64;112;36.80;239.0069
opt_4;16384;128;112;43.45;202.4535
opt_4;16384;128;112;35.50;247.7668
opt_4;16384;128;112;40.38;217.8326
opt_5;4096;32;56;0.80;172.6414
opt_5;4096;32;56;0.84;164.3177
opt_5;4096;32;56;0.86;160.4746
opt_5;4096;64;56;0.62;220.0664
opt_5;4096;64;56;0.60;229.5247
opt_5;4096;64;56;0.65;212.7153
opt_5;4096;128;56;0.62;222.3845
opt_5;4096;128;56;0.69;197.9781
opt_5;4096;128;56;0.64;214.5003
opt_5;4096;32;112;0.99;138.4972
opt_5;4096;32;112;1.13;121.5545
opt_5;4096;32;112;1.04;131.9640
opt_5;4096;64;112;0.90;153.4205
opt_5;4096;64;112;1.33;103.4529
opt_5;4096;64;112;1.18;116.8275
opt_5;4096;128;112;0.90;153.0519
opt_5;4096;128;112;0.92;148.9934
opt_5;4096;128;112;0.97;141.1778
opt_5;8192;32;56;5.34;205.8714
opt_5;8192;32;56;4.84;227.2641
opt_5;8192;32;56;5.16;213.1377
opt_5;8192;64;56;7.26;151.4664
opt_5;8192;64;56;7.45;147.5520
opt_5;8192;64;56;6.56;167.5679
opt_5;8192;128;56;5.96;184.3434
opt_5;8192;128;56;4.50;244.5859
opt_5;8192;128;56;5.40;203.4574
opt_5;8192;32;112;4.02;273.4124
opt_5;8192;32;112;4.13;266.2690
opt_5;8192;32;112;4.43;248.4230
opt_5;8192;64;112;3.02;364.6360
opt_5;8192;64;112;3.08;357.1848
opt_5;8192;64;112;3.15;348.8138
opt_5;8192;128;112;3.02;363.8608
opt_5;8192;128;112;3.00;366.9180
opt_5;8192;128;112;2.89;379.9623
opt_5;16384;32;56;71.77;122.5554
opt_5;16384;32;56;87.90;100.0644
opt_5;16384;32;56;130.30;67.5078
opt_5;16384;64;56;120.12;73.2296
opt_5;16384;64;56;114.53;76.8049
opt_5;16384;64;56;113.99;77.1671
opt_5;16384;128;56;69.40;126.7418
opt_5;16384;128;56;100.93;87.1475
opt_5;16384;128;56;80.90;108.7245
opt_5;16384;32;112;23.76;370.1402
opt_5;16384;32;112;26.85;327.6558
opt_5;16384;32;112;46.12;190.7295
opt_5;16384;64;112;30.07;292.4926
opt_5;16384;64;112;28.23;311.5664
opt_5;16384;64;112;28.06;313.4548
opt_5;16384;128;112;22.28;394.7178
opt_5;16384;128;112;28.85;304.8475
opt_5;16384;128;112;27.75;317.0153
opt_6;4096;32;56;0.75;183.9852
opt_6;4096;32;56;0.80;172.1203
opt_6;4096;32;56;0.73;189.1486
opt_6;4096;64;56;0.59;233.0943
opt_6;4096;64;56;0.62;220.6444
opt_6;4096;64;56;0.60;229.6993
opt_6;4096;128;56;0.66;209.8225
opt_6;4096;128;56;0.64;215.0915
opt_6;4096;128;56;0.63;217.2635
opt_6;4096;32;112;1.09;125.9623
opt_6;4096;32;112;1.06;129.2598
opt_6;4096;32;112;1.00;137.1731
opt_6;4096;64;112;0.83;164.6506
opt_6;4096;64;112;0.92;149.7391
opt_6;4096;64;112;1.01;136.2654
opt_6;4096;128;112;1.21;113.5855
opt_6;4096;128;112;1.06;129.0596
opt_6;4096;128;112;1.18;116.2059
opt_6;8192;32;56;5.17;212.5385
opt_6;8192;32;56;5.15;213.3339
opt_6;8192;32;56;5.34;205.8334
opt_6;8192;64;56;6.38;172.4048
opt_6;8192;64;56;4.54;242.2975
opt_6;8192;64;56;6.14;179.1548
opt_6;8192;128;56;5.77;190.5795
opt_6;8192;128;56;5.67;194.0179
opt_6;8192;128;56;5.81;189.3030
opt_6;8192;32;112;4.39;250.5352
opt_6;8192;32;112;4.28;257.0369
opt_6;8192;32;112;4.35;252.7315
opt_6;8192;64;112;3.02;364.0557
opt_6;8192;64;112;3.05;361.0354
opt_6;8192;64;112;3.16;348.2818
opt_6;8192;128;112;2.91;377.6192
opt_6;8192;128;112;2.89;380.3944
opt_6;8192;128;112;4.43;248.1200
opt_6;16384;32;56;121.13;72.6181
opt_6;16384;32;56;123.90;70.9962
opt_6;16384;32;56;115.67;76.0466
opt_6;16384;64;56;119.29;73.7344
opt_6;16384;64;56;107.31;81.9722
opt_6;16384;64;56;115.23;76.3340
opt_6;16384;128;56;104.30;84.3327
opt_6;16384;128;56;64.09;137.2380
opt_6;16384;128;56;68.94;127.5896
opt_6;16384;32;112;23.87;368.5360
opt_6;16384;32;112;45.44;193.5698
opt_6;16384;32;112;34.44;255.4255
opt_6;16384;64;112;33.50;262.6081
opt_6;16384;64;112;33.72;260.8361
opt_6;16384;64;112;22.01;399.5909
opt_6;16384;128;112;30.31;290.2370
opt_6;16384;128;112;26.58;330.9470
opt_6;16384;128;112;28.81;305.2789

