
Version;N;BS;T;Exec time;GFlops
inc1_o5_2d;4096;32;56;0.54;253.9748
inc1_o5_2d;4096;32;56;0.54;255.5492
inc1_o5_2d;4096;32;56;0.53;256.9793
inc1_o5_2d;4096;64;56;0.38;364.3721
inc1_o5_2d;4096;64;56;0.38;360.4030
inc1_o5_2d;4096;64;56;0.38;357.4383
inc1_o5_2d;4096;128;56;0.39;350.7868
inc1_o5_2d;4096;128;56;0.39;353.7445
inc1_o5_2d;4096;128;56;0.39;355.9083
inc1_o5_2d;4096;32;112;0.63;219.3870
inc1_o5_2d;4096;32;112;0.63;218.9373
inc1_o5_2d;4096;32;112;0.63;219.4315
inc1_o5_2d;4096;64;112;0.44;309.0738
inc1_o5_2d;4096;64;112;0.45;307.5805
inc1_o5_2d;4096;64;112;0.45;308.3963
inc1_o5_2d;4096;128;112;0.42;325.4942
inc1_o5_2d;4096;128;112;0.42;326.6624
inc1_o5_2d;4096;128;112;0.42;324.2731
inc1_o5_2d;8192;32;56;6.53;168.3433
inc1_o5_2d;8192;32;56;6.52;168.6732
inc1_o5_2d;8192;32;56;6.53;168.4705
inc1_o5_2d;8192;64;56;4.70;233.9739
inc1_o5_2d;8192;64;56;4.88;225.4447
inc1_o5_2d;8192;64;56;4.80;229.0864
inc1_o5_2d;8192;128;56;3.67;299.7914
inc1_o5_2d;8192;128;56;3.66;300.6397
inc1_o5_2d;8192;128;56;3.57;307.8147
inc1_o5_2d;8192;32;112;4.08;269.5091
inc1_o5_2d;8192;32;112;4.10;268.1354
inc1_o5_2d;8192;32;112;4.09;268.5452
inc1_o5_2d;8192;64;112;2.87;383.0288
inc1_o5_2d;8192;64;112;2.88;381.5034
inc1_o5_2d;8192;64;112;2.87;383.1793
inc1_o5_2d;8192;128;112;2.60;423.0113
inc1_o5_2d;8192;128;112;2.59;424.3128
inc1_o5_2d;8192;128;112;2.61;422.0158
inc1_o5_2d;16384;32;56;98.77;89.0580
inc1_o5_2d;16384;32;56;63.92;137.6038
inc1_o5_2d;16384;32;56;97.98;89.7782
inc1_o5_2d;16384;64;56;50.29;174.9148
inc1_o5_2d;16384;64;56;50.11;175.5260
inc1_o5_2d;16384;64;56;48.81;180.2123
inc1_o5_2d;16384;128;56;54.71;160.7698
inc1_o5_2d;16384;128;56;54.36;161.7970
inc1_o5_2d;16384;128;56;54.22;162.2380
inc1_o5_2d;16384;32;112;44.03;199.7746
inc1_o5_2d;16384;32;112;44.07;199.5804
inc1_o5_2d;16384;32;112;30.56;287.7969
inc1_o5_2d;16384;64;112;34.18;257.3596
inc1_o5_2d;16384;64;112;34.04;258.4207
inc1_o5_2d;16384;64;112;33.78;260.3558
inc1_o5_2d;16384;128;112;27.45;320.4768
inc1_o5_2d;16384;128;112;29.77;295.4773
inc1_o5_2d;16384;128;112;22.21;396.0472
inc1_o6_2d;4096;32;56;0.54;254.8554
inc1_o6_2d;4096;32;56;0.53;257.6499
inc1_o6_2d;4096;32;56;0.53;258.1639
inc1_o6_2d;4096;64;56;0.38;360.8136
inc1_o6_2d;4096;64;56;0.38;360.9832
inc1_o6_2d;4096;64;56;0.38;362.3929
inc1_o6_2d;4096;128;56;0.39;355.8953
inc1_o6_2d;4096;128;56;0.38;357.4671
inc1_o6_2d;4096;128;56;0.39;355.1780
inc1_o6_2d;4096;32;112;0.62;222.2327
inc1_o6_2d;4096;32;112;0.63;219.0999
inc1_o6_2d;4096;32;112;0.63;219.7894
inc1_o6_2d;4096;64;112;0.45;308.4738
inc1_o6_2d;4096;64;112;0.45;307.4167
inc1_o6_2d;4096;64;112;0.45;306.2980
inc1_o6_2d;4096;128;112;0.44;312.6903
inc1_o6_2d;4096;128;112;0.44;313.7016
inc1_o6_2d;4096;128;112;0.44;314.8341
inc1_o6_2d;8192;32;56;6.53;168.4039
inc1_o6_2d;8192;32;56;6.59;166.8895
inc1_o6_2d;8192;32;56;6.53;168.4882
inc1_o6_2d;8192;64;56;4.76;230.8766
inc1_o6_2d;8192;64;56;4.90;224.6171
inc1_o6_2d;8192;64;56;4.90;224.2479
inc1_o6_2d;8192;128;56;3.66;300.4417
inc1_o6_2d;8192;128;56;3.65;300.8275
inc1_o6_2d;8192;128;56;3.56;308.8009
inc1_o6_2d;8192;32;112;4.05;271.4404
inc1_o6_2d;8192;32;112;4.10;267.9962
inc1_o6_2d;8192;32;112;4.11;267.8257
inc1_o6_2d;8192;64;112;2.89;380.5799
inc1_o6_2d;8192;64;112;2.87;382.7574
inc1_o6_2d;8192;64;112;2.87;382.8908
inc1_o6_2d;8192;128;112;2.64;416.4560
inc1_o6_2d;8192;128;112;2.63;417.4765
inc1_o6_2d;8192;128;112;2.64;416.3434
inc1_o6_2d;16384;32;56;97.76;89.9801
inc1_o6_2d;16384;32;56;97.62;90.1014
inc1_o6_2d;16384;32;56;98.71;89.1074
inc1_o6_2d;16384;64;56;50.79;173.1837
inc1_o6_2d;16384;64;56;50.44;174.3870
inc1_o6_2d;16384;64;56;50.09;175.6121
inc1_o6_2d;16384;128;56;55.01;159.8883
inc1_o6_2d;16384;128;56;55.18;159.4068
inc1_o6_2d;16384;128;56;54.68;160.8636
inc1_o6_2d;16384;32;112;43.84;200.6522
inc1_o6_2d;16384;32;112;43.79;200.8828
inc1_o6_2d;16384;32;112;43.54;202.0286
inc1_o6_2d;16384;64;112;30.75;286.0877
inc1_o6_2d;16384;64;112;30.41;289.2670
inc1_o6_2d;16384;64;112;22.04;399.0158
inc1_o6_2d;16384;128;112;29.89;294.2903
inc1_o6_2d;16384;128;112;22.27;395.0354
inc1_o6_2d;16384;128;112;32.72;268.8187

