Version;N;BS;T;Exec time;GFlops
inc1_o78;4096;32;56;0,33;418,2421
inc1_o78;4096;32;56;0,33;420,4981
inc1_o78;4096;32;56;0,33;420,6383
inc1_o78;4096;64;56;0,23;608,0697
inc1_o78;4096;64;56;0,22;613,8984
inc1_o78;4096;64;56;0,23;609,8721
inc1_o78;4096;128;56;0,25;546,5421
inc1_o78;4096;128;56;0,25;545,3927
inc1_o78;4096;128;56;0,25;546,8966
inc1_o78;4096;32;112;0,50;272,7986
inc1_o78;4096;32;112;0,51;271,6480
inc1_o78;4096;32;112;0,50;274,1623
inc1_o78;4096;64;112;0,32;423,2694
inc1_o78;4096;64;112;0,33;422,0113
inc1_o78;4096;64;112;0,33;421,4574
inc1_o78;4096;128;112;0,28;488,6353
inc1_o78;4096;128;112;0,28;491,8089
inc1_o78;4096;128;112;0,28;487,5070
inc1_o78;8192;32;56;4,62;237,9100
inc1_o78;8192;32;56;4,77;230,7347
inc1_o78;8192;32;56;4,84;227,1592
inc1_o78;8192;64;56;1,60;687,9584
inc1_o78;8192;64;56;1,60;688,9650
inc1_o78;8192;64;56;1,60;686,0054
inc1_o78;8192;128;56;1,50;735,1672
inc1_o78;8192;128;56;1,50;734,3629
inc1_o78;8192;128;56;1,49;735,7295
inc1_o78;8192;32;112;2,80;393,3074
inc1_o78;8192;32;112;2,78;395,2418
inc1_o78;8192;32;112;2,81;391,9807
inc1_o78;8192;64;112;1,88;584,8584
inc1_o78;8192;64;112;1,86;592,5277
inc1_o78;8192;64;112;1,86;591,4052
inc1_o78;8192;128;112;1,57;699,9318
inc1_o78;8192;128;112;1,56;702,9950
inc1_o78;8192;128;112;1,57;701,1208
inc1_o78;16384;32;56;67,67;129,9769
inc1_o78;16384;32;56;65,78;133,7108
inc1_o78;16384;32;56;66,18;132,9043
inc1_o78;16384;64;56;79,81;110,2099
inc1_o78;16384;64;56;79,44;110,7298
inc1_o78;16384;64;56;79,74;110,3152
inc1_o78;16384;128;56;83,43;105,4365
inc1_o78;16384;128;56;83,05;105,9130
inc1_o78;16384;128;56;83,23;105,6784
inc1_o78;16384;32;112;16,74;525,4101
inc1_o78;16384;32;112;24,33;361,5987
inc1_o78;16384;32;112;24,57;358,0667
inc1_o78;16384;64;112;51,64;170,3200
inc1_o78;16384;64;112;38,38;229,1859
inc1_o78;16384;64;112;52,24;168,3773
inc1_o78;16384;128;112;17,82;493,5771
inc1_o78;16384;128;112;52,26;168,3264
inc1_o78;16384;128;112;52,07;168,9214
opt_7_8;4096;32;56;0,35;397,3074
opt_7_8;4096;32;56;0,35;397,4625
opt_7_8;4096;32;56;0,34;401,5630
opt_7_8;4096;64;56;0,22;638,1290
opt_7_8;4096;64;56;0,22;638,0046
opt_7_8;4096;64;56;0,22;635,0772
opt_7_8;4096;128;56;0,25;559,0131
opt_7_8;4096;128;56;0,25;556,8388
opt_7_8;4096;128;56;0,25;557,7291
opt_7_8;4096;32;112;0,40;345,2910
opt_7_8;4096;32;112;0,41;336,9097
opt_7_8;4096;32;112;0,40;342,6329
opt_7_8;4096;64;112;0,29;467,7292
opt_7_8;4096;64;112;0,30;456,3713
opt_7_8;4096;64;112;0,29;473,8359
opt_7_8;4096;128;112;0,27;516,3093
opt_7_8;4096;128;112;0,26;520,7066
opt_7_8;4096;128;112;0,27;510,0552
opt_7_8;8192;32;56;4,46;246,4348
opt_7_8;8192;32;56;4,22;260,6134
opt_7_8;8192;32;56;4,45;247,0494
opt_7_8;8192;64;56;1,56;704,9620
opt_7_8;8192;64;56;1,56;706,9550
opt_7_8;8192;64;56;1,55;709,9074
opt_7_8;8192;128;56;1,48;741,2200
opt_7_8;8192;128;56;1,48;741,8781
opt_7_8;8192;128;56;1,48;741,5554
opt_7_8;8192;32;112;2,52;436,3709
opt_7_8;8192;32;112;2,51;437,6488
opt_7_8;8192;32;112;2,50;439,4195
opt_7_8;8192;64;112;1,80;610,3607
opt_7_8;8192;64;112;1,80;611,6560
opt_7_8;8192;64;112;1,80;609,9425
opt_7_8;8192;128;112;1,54;713,3201
opt_7_8;8192;128;112;1,54;712,8734
opt_7_8;8192;128;112;1,53;718,0672
opt_7_8;16384;32;56;86,23;102,0055
opt_7_8;16384;32;56;59,25;148,4605
opt_7_8;16384;32;56;61,22;143,6847
opt_7_8;16384;64;56;84,71;103,8412
opt_7_8;16384;64;56;85,04;103,4372
opt_7_8;16384;64;56;85,14;103,3184
opt_7_8;16384;128;56;83,47;105,3768
opt_7_8;16384;128;56;83,59;105,2295
opt_7_8;16384;128;56;83,15;105,7880
opt_7_8;16384;32;112;15,18;579,5812
opt_7_8;16384;32;112;16,30;539,6787
opt_7_8;16384;32;112;25,87;340,0154
opt_7_8;16384;64;112;53,20;165,3453
opt_7_8;16384;64;112;52,59;167,2471
opt_7_8;16384;64;112;52,55;167,3858
opt_7_8;16384;128;112;51,99;169,1736
opt_7_8;16384;128;112;50,53;174,0912
opt_7_8;16384;128;112;52,18;168,5838

