
Version;N;BS;T;Exec time;GFlops
inc1_o5_2d;4096;32;56;0.54;255.9366
inc1_o5_2d;4096;32;56;0.53;258.3012
inc1_o5_2d;4096;32;56;0.53;258.0519
inc1_o5_2d;4096;64;56;0.38;362.9345
inc1_o5_2d;4096;64;56;0.38;360.3576
inc1_o5_2d;4096;64;56;0.38;362.7573
inc1_o5_2d;4096;128;56;0.38;357.1049
inc1_o5_2d;4096;128;56;0.38;359.8246
inc1_o5_2d;4096;128;56;0.38;357.2385
inc1_o5_2d;4096;32;112;0.63;219.4063
inc1_o5_2d;4096;32;112;0.62;220.8511
inc1_o5_2d;4096;32;112;0.63;216.5324
inc1_o5_2d;4096;64;112;0.45;308.6151
inc1_o5_2d;4096;64;112;0.45;308.0417
inc1_o5_2d;4096;64;112;0.45;305.9080
inc1_o5_2d;4096;128;112;0.42;326.0742
inc1_o5_2d;4096;128;112;0.43;323.0749
inc1_o5_2d;4096;128;112;0.42;324.9555
inc1_o5_2d;8192;32;56;6.52;168.7167
inc1_o5_2d;8192;32;56;6.56;167.6973
inc1_o5_2d;8192;32;56;6.51;168.8992
inc1_o5_2d;8192;64;56;4.80;228.9433
inc1_o5_2d;8192;64;56;4.87;225.6853
inc1_o5_2d;8192;64;56;4.68;235.1705
inc1_o5_2d;8192;128;56;3.66;300.1570
inc1_o5_2d;8192;128;56;3.92;280.6230
inc1_o5_2d;8192;128;56;3.67;299.8608
inc1_o5_2d;8192;32;112;4.11;267.8441
inc1_o5_2d;8192;32;112;4.10;267.8905
inc1_o5_2d;8192;32;112;4.10;268.0247
inc1_o5_2d;8192;64;112;2.87;382.5187
inc1_o5_2d;8192;64;112;2.87;382.6770
inc1_o5_2d;8192;64;112;2.89;380.6490
inc1_o5_2d;8192;128;112;2.60;423.5691
inc1_o5_2d;8192;128;112;2.60;423.0468
inc1_o5_2d;8192;128;112;2.59;425.1353
inc1_o5_2d;16384;32;56;65.19;134.9270
inc1_o5_2d;16384;32;56;123.22;71.3855
inc1_o5_2d;16384;32;56;99.11;88.7544
inc1_o5_2d;16384;64;56;49.40;178.0486
inc1_o5_2d;16384;64;56;116.07;75.7812
inc1_o5_2d;16384;64;56;49.15;178.9471
inc1_o5_2d;16384;128;56;54.47;161.4813
inc1_o5_2d;16384;128;56;92.47;95.1236
inc1_o5_2d;16384;128;56;54.43;161.5929
inc1_o5_2d;16384;32;112;49.11;179.1043
inc1_o5_2d;16384;32;112;48.34;181.9508
inc1_o5_2d;16384;32;112;24.83;354.3179
inc1_o5_2d;16384;64;112;34.94;251.7755
inc1_o5_2d;16384;64;112;34.82;252.5932
inc1_o5_2d;16384;64;112;34.95;251.6528
inc1_o5_2d;16384;128;112;22.11;397.8751
inc1_o5_2d;16384;128;112;33.29;264.2531
inc1_o5_2d;16384;128;112;22.09;398.1356
inc1_o6_2d;4096;32;56;0.54;255.8275
inc1_o6_2d;4096;32;56;0.54;255.5411
inc1_o6_2d;4096;32;56;0.53;257.4998
inc1_o6_2d;4096;64;56;0.38;361.5559
inc1_o6_2d;4096;64;56;0.38;362.2611
inc1_o6_2d;4096;64;56;0.38;361.5102
inc1_o6_2d;4096;128;56;0.39;354.7672
inc1_o6_2d;4096;128;56;0.39;355.7931
inc1_o6_2d;4096;128;56;0.38;357.9652
inc1_o6_2d;4096;32;112;0.62;220.3388
inc1_o6_2d;4096;32;112;0.62;222.0288
inc1_o6_2d;4096;32;112;0.63;219.2631
inc1_o6_2d;4096;64;112;0.44;308.9550
inc1_o6_2d;4096;64;112;0.45;306.5712
inc1_o6_2d;4096;64;112;0.45;307.0383
inc1_o6_2d;4096;128;112;0.43;317.5422
inc1_o6_2d;4096;128;112;0.43;316.1988
inc1_o6_2d;4096;128;112;0.43;319.0067
inc1_o6_2d;8192;32;56;6.51;168.9722
inc1_o6_2d;8192;32;56;6.54;168.1002
inc1_o6_2d;8192;32;56;6.54;168.1741
inc1_o6_2d;8192;64;56;4.76;230.9133
inc1_o6_2d;8192;64;56;4.66;235.8569
inc1_o6_2d;8192;64;56;4.84;227.3278
inc1_o6_2d;8192;128;56;3.47;317.2991
inc1_o6_2d;8192;128;56;3.51;313.1002
inc1_o6_2d;8192;128;56;3.67;299.3813
inc1_o6_2d;8192;32;112;4.08;269.6910
inc1_o6_2d;8192;32;112;4.08;269.3320
inc1_o6_2d;8192;32;112;4.07;270.1069
inc1_o6_2d;8192;64;112;2.87;382.6249
inc1_o6_2d;8192;64;112;2.87;382.7969
inc1_o6_2d;8192;64;112;2.87;382.7830
inc1_o6_2d;8192;128;112;2.63;418.2039
inc1_o6_2d;8192;128;112;2.65;415.5464
inc1_o6_2d;8192;128;112;2.63;417.3911
inc1_o6_2d;16384;32;56;97.11;90.5786
inc1_o6_2d;16384;32;56;98.63;89.1836
inc1_o6_2d;16384;32;56;76.14;115.5324
inc1_o6_2d;16384;64;56;49.47;177.8234
inc1_o6_2d;16384;64;56;49.09;179.1919
inc1_o6_2d;16384;64;56;50.32;174.8173
inc1_o6_2d;16384;128;56;54.89;160.2570
inc1_o6_2d;16384;128;56;55.14;159.5147
inc1_o6_2d;16384;128;56;54.95;160.0817
inc1_o6_2d;16384;32;112;48.26;182.2788
inc1_o6_2d;16384;32;112;30.10;292.2462
inc1_o6_2d;16384;32;112;34.10;257.9813
inc1_o6_2d;16384;64;112;35.25;249.5464
inc1_o6_2d;16384;64;112;34.48;255.1128
inc1_o6_2d;16384;64;112;35.33;248.9863
inc1_o6_2d;16384;128;112;34.87;252.2616
inc1_o6_2d;16384;128;112;33.44;263.0557
inc1_o6_2d;16384;128;112;30.32;290.0729

