Version;N;BS;T;Exec time;GFlops
inc1_o78;4096;32;56;0,26;537,4146
inc1_o78;4096;32;56;0,26;529,2872
inc1_o78;4096;32;56;0,25;545,9473
inc1_o78;4096;64;56;0,21;664,4570
inc1_o78;4096;64;56;0,20;680,7447
inc1_o78;4096;64;56;0,20;678,7846
inc1_o78;4096;128;56;0,23;586,8369
inc1_o78;4096;128;56;0,24;583,3225
inc1_o78;4096;128;56;0,24;576,2374
inc1_o78;4096;32;112;0,38;362,0340
inc1_o78;4096;32;112;0,37;370,4554
inc1_o78;4096;32;112;0,38;363,9032
inc1_o78;4096;64;112;0,29;478,0153
inc1_o78;4096;64;112;0,28;483,3749
inc1_o78;4096;64;112;0,28;485,6260
inc1_o78;4096;128;112;0,25;546,1317
inc1_o78;4096;128;112;0,25;550,9348
inc1_o78;4096;128;112;0,25;559,1109
inc1_o78;8192;32;56;1,93;570,2746
inc1_o78;8192;32;56;1,93;569,8496
inc1_o78;8192;32;56;1,93;569,4323
inc1_o78;8192;64;56;1,30;843,9675
inc1_o78;8192;64;56;1,31;842,2137
inc1_o78;8192;64;56;1,30;845,5746
inc1_o78;8192;128;56;1,41;777,3889
inc1_o78;8192;128;56;1,41;778,0325
inc1_o78;8192;128;56;1,41;778,2864
inc1_o78;8192;32;112;2,21;498,4173
inc1_o78;8192;32;112;2,21;498,0403
inc1_o78;8192;32;112;2,21;498,3561
inc1_o78;8192;64;112;1,53;717,7053
inc1_o78;8192;64;112;1,54;715,9304
inc1_o78;8192;64;112;1,53;720,3120
inc1_o78;8192;128;112;1,47;747,8328
inc1_o78;8192;128;112;1,46;750,5214
inc1_o78;8192;128;112;1,47;749,6198
inc1_o78;16384;32;56;140,90;62,4275
inc1_o78;16384;32;56;148,09;59,3983
inc1_o78;16384;32;56;141,29;62,2572
inc1_o78;16384;64;56;120,37;73,0724
inc1_o78;16384;64;56;120,04;73,2761
inc1_o78;16384;64;56;118,50;74,2262
inc1_o78;16384;128;56;111,15;79,1389
inc1_o78;16384;128;56;111,29;79,0387
inc1_o78;16384;128;56;111,46;78,9204
inc1_o78;16384;32;112;70,95;123,9783
inc1_o78;16384;32;112;70,98;123,9272
inc1_o78;16384;32;112;71,09;123,7313
inc1_o78;16384;64;112;57,30;153,5206
inc1_o78;16384;64;112;57,06;154,1485
inc1_o78;16384;64;112;57,27;153,5957
inc1_o78;16384;128;112;55,81;157,6091
inc1_o78;16384;128;112;56,21;156,4835
inc1_o78;16384;128;112;54,94;160,0987
opt_7_8;4096;32;56;0,52;266,5467
opt_7_8;4096;32;56;0,52;266,1926
opt_7_8;4096;32;56;0,51;269,7976
opt_7_8;4096;64;56;0,37;368,8894
opt_7_8;4096;64;56;0,38;364,0960
opt_7_8;4096;64;56;0,37;367,3493
opt_7_8;4096;128;56;0,40;343,4059
opt_7_8;4096;128;56;0,40;341,5540
opt_7_8;4096;128;56;0,40;344,0352
opt_7_8;4096;32;112;0,61;224,2470
opt_7_8;4096;32;112;0,61;226,0364
opt_7_8;4096;32;112;0,61;226,6201
opt_7_8;4096;64;112;0,44;310,1927
opt_7_8;4096;64;112;0,44;311,2901
opt_7_8;4096;64;112;0,45;307,6913
opt_7_8;4096;128;112;0,42;327,2278
opt_7_8;4096;128;112;0,42;326,2305
opt_7_8;4096;128;112;0,42;326,8170
opt_7_8;8192;32;56;6,71;163,7865
opt_7_8;8192;32;56;6,67;164,8637
opt_7_8;8192;32;56;6,72;163,5880
opt_7_8;8192;64;56;4,83;227,5574
opt_7_8;8192;64;56;4,90;224,5378
opt_7_8;8192;64;56;4,93;223,2173
opt_7_8;8192;128;56;3,66;300,7096
opt_7_8;8192;128;56;3,65;301,6387
opt_7_8;8192;128;56;3,58;307,2630
opt_7_8;8192;32;112;3,95;278,6130
opt_7_8;8192;32;112;3,93;279,8710
opt_7_8;8192;32;112;3,93;279,5934
opt_7_8;8192;64;112;2,88;381,7407
opt_7_8;8192;64;112;2,88;381,7408
opt_7_8;8192;64;112;2,89;381,0919
opt_7_8;8192;128;112;2,70;407,4419
opt_7_8;8192;128;112;2,69;409,0635
opt_7_8;8192;128;112;2,70;407,7425
opt_7_8;16384;32;56;91,50;96,1345
opt_7_8;16384;32;56;91,40;96,2344
opt_7_8;16384;32;56;91,19;96,4559
opt_7_8;16384;64;56;20,94;420,1227
opt_7_8;16384;64;56;96,32;91,3263
opt_7_8;16384;64;56;48,76;180,3909
opt_7_8;16384;128;56;53,38;164,7854
opt_7_8;16384;128;56;91,56;96,0661
opt_7_8;16384;128;56;53,28;165,0840
opt_7_8;16384;32;112;47,01;187,0991
opt_7_8;16384;32;112;45,44;193,5909
opt_7_8;16384;32;112;23,78;369,9460
opt_7_8;16384;64;112;35,38;248,6263
opt_7_8;16384;64;112;35,57;247,2860
opt_7_8;16384;64;112;32,60;269,8561
opt_7_8;16384;128;112;32,43;271,2145
opt_7_8;16384;128;112;26,70;329,4635
opt_7_8;16384;128;112;34,95;251,6893
