Version;N;BS;T;Exec time;GFlops
inc1_o78;4096;32;56;0,26;538,4463
inc1_o78;4096;32;56;0,25;547,0512
inc1_o78;4096;32;56;0,25;545,0077
inc1_o78;4096;64;56;0,20;674,9843
inc1_o78;4096;64;56;0,20;674,3153
inc1_o78;4096;64;56;0,20;673,1759
inc1_o78;4096;128;56;0,24;584,4089
inc1_o78;4096;128;56;0,24;579,8598
inc1_o78;4096;128;56;0,24;576,9534
inc1_o78;4096;32;112;0,38;365,5670
inc1_o78;4096;32;112;0,37;367,4347
inc1_o78;4096;32;112;0,38;359,8632
inc1_o78;4096;64;112;0,28;489,5700
inc1_o78;4096;64;112;0,28;489,9662
inc1_o78;4096;64;112;0,28;490,2126
inc1_o78;4096;128;112;0,25;546,3488
inc1_o78;4096;128;112;0,25;545,1763
inc1_o78;4096;128;112;0,24;563,5724
inc1_o78;8192;32;56;1,92;571,2179
inc1_o78;8192;32;56;1,93;570,7432
inc1_o78;8192;32;56;1,93;570,4275
inc1_o78;8192;64;56;1,30;842,5602
inc1_o78;8192;64;56;1,31;841,9273
inc1_o78;8192;64;56;1,30;844,0952
inc1_o78;8192;128;56;1,41;777,8129
inc1_o78;8192;128;56;1,42;776,7623
inc1_o78;8192;128;56;1,41;777,4466
inc1_o78;8192;32;112;2,20;499,1110
inc1_o78;8192;32;112;2,20;498,8115
inc1_o78;8192;32;112;2,20;499,1217
inc1_o78;8192;64;112;1,53;717,1183
inc1_o78;8192;64;112;1,53;718,9485
inc1_o78;8192;64;112;1,54;716,1375
inc1_o78;8192;128;112;1,47;749,4716
inc1_o78;8192;128;112;1,46;750,8100
inc1_o78;8192;128;112;1,46;751,7494
inc1_o78;16384;32;56;150,05;58,6207
inc1_o78;16384;32;56;150,54;58,4302
inc1_o78;16384;32;56;151,11;58,2092
inc1_o78;16384;64;56;120,99;72,7016
inc1_o78;16384;64;56;117,74;74,7079
inc1_o78;16384;64;56;120,95;72,7222
inc1_o78;16384;128;56;110,17;79,8405
inc1_o78;16384;128;56;108,64;80,9690
inc1_o78;16384;128;56;111,24;79,0705
inc1_o78;16384;32;112;71,11;123,6966
inc1_o78;16384;32;112;71,02;123,8480
inc1_o78;16384;32;112;70,84;124,1641
inc1_o78;16384;64;112;57,24;153,6610
inc1_o78;16384;64;112;58,02;151,6052
inc1_o78;16384;64;112;58,33;150,7996
inc1_o78;16384;128;112;55,72;157,8576
inc1_o78;16384;128;112;55,75;157,7889
inc1_o78;16384;128;112;54,86;160,3292
opt_7_8;4096;32;56;0,53;261,3444
opt_7_8;4096;32;56;0,52;265,2483
opt_7_8;4096;32;56;0,52;264,3845
opt_7_8;4096;64;56;0,38;362,8876
opt_7_8;4096;64;56;0,38;362,9010
opt_7_8;4096;64;56;0,38;364,8150
opt_7_8;4096;128;56;0,41;335,4166
opt_7_8;4096;128;56;0,40;341,0641
opt_7_8;4096;128;56;0,40;341,3335
opt_7_8;4096;32;112;0,64;214,7400
opt_7_8;4096;32;112;0,64;216,0810
opt_7_8;4096;32;112;0,63;217,0638
opt_7_8;4096;64;112;0,47;293,0949
opt_7_8;4096;64;112;0,47;290,6620
opt_7_8;4096;64;112;0,47;291,8551
opt_7_8;4096;128;112;0,44;311,4990
opt_7_8;4096;128;112;0,44;308,8682
opt_7_8;4096;128;112;0,45;308,6879
opt_7_8;8192;32;56;6,62;166,0934
opt_7_8;8192;32;56;6,61;166,2870
opt_7_8;8192;32;56;6,60;166,6841
opt_7_8;8192;64;56;4,76;231,2222
opt_7_8;8192;64;56;4,97;221,3583
opt_7_8;8192;64;56;4,73;232,4194
opt_7_8;8192;128;56;3,51;312,9284
opt_7_8;8192;128;56;3,67;299,9647
opt_7_8;8192;128;56;3,50;314,3831
opt_7_8;8192;32;112;3,87;284,1646
opt_7_8;8192;32;112;3,87;283,8650
opt_7_8;8192;32;112;3,87;283,7610
opt_7_8;8192;64;112;2,93;375,8591
opt_7_8;8192;64;112;2,92;376,0849
opt_7_8;8192;64;112;2,92;376,0770
opt_7_8;8192;128;112;2,71;405,5120
opt_7_8;8192;128;112;2,71;405,5102
opt_7_8;8192;128;112;2,71;406,1039
opt_7_8;16384;32;56;86,90;101,2237
opt_7_8;16384;32;56;86,66;101,4975
opt_7_8;16384;32;56;87,23;100,8400
opt_7_8;16384;64;56;50,35;174,6924
opt_7_8;16384;64;56;31,45;279,7129
opt_7_8;16384;64;56;48,89;179,8987
opt_7_8;16384;128;56;53,83;163,4042
opt_7_8;16384;128;56;25,20;349,0121
opt_7_8;16384;128;56;53,25;165,1724
opt_7_8;16384;32;112;46,01;191,1652
opt_7_8;16384;32;112;46,21;190,3491
opt_7_8;16384;32;112;46,08;190,8687
opt_7_8;16384;64;112;34,64;253,9509
opt_7_8;16384;64;112;34,13;257,7374
opt_7_8;16384;64;112;33,99;258,8140
opt_7_8;16384;128;112;22,27;394,9240
opt_7_8;16384;128;112;33,71;260,9401
opt_7_8;16384;128;112;33,17;265,1450

