
Version;N;BS;T;Exec time;GFlops
inc1_o5_2d;4096;32;56;0.72;190.2346
inc1_o5_2d;4096;32;56;0.72;191.9613
inc1_o5_2d;4096;32;56;0.72;192.1334
inc1_o5_2d;4096;64;56;0.45;303.1738
inc1_o5_2d;4096;64;56;0.45;304.1606
inc1_o5_2d;4096;64;56;0.45;302.3860
inc1_o5_2d;4096;128;56;0.45;307.6026
inc1_o5_2d;4096;128;56;0.45;306.0354
inc1_o5_2d;4096;128;56;0.45;305.6025
inc1_o5_2d;4096;32;112;0.87;158.3864
inc1_o5_2d;4096;32;112;0.88;156.6934
inc1_o5_2d;4096;32;112;0.87;157.9504
inc1_o5_2d;4096;64;112;0.51;270.4810
inc1_o5_2d;4096;64;112;0.51;269.6335
inc1_o5_2d;4096;64;112;0.51;270.5475
inc1_o5_2d;4096;128;112;0.48;287.0074
inc1_o5_2d;4096;128;112;0.48;285.3574
inc1_o5_2d;4096;128;112;0.48;286.6990
inc1_o5_2d;8192;32;56;5.78;190.1637
inc1_o5_2d;8192;32;56;5.69;193.3209
inc1_o5_2d;8192;32;56;5.82;188.8881
inc1_o5_2d;8192;64;56;6.10;180.3880
inc1_o5_2d;8192;64;56;6.08;180.7956
inc1_o5_2d;8192;64;56;6.11;180.0800
inc1_o5_2d;8192;128;56;4.78;229.8731
inc1_o5_2d;8192;128;56;4.81;228.3874
inc1_o5_2d;8192;128;56;4.80;229.1365
inc1_o5_2d;8192;32;112;6.96;157.8768
inc1_o5_2d;8192;32;112;6.92;158.9823
inc1_o5_2d;8192;32;112;6.97;157.7548
inc1_o5_2d;8192;64;112;3.64;302.2874
inc1_o5_2d;8192;64;112;3.64;302.1907
inc1_o5_2d;8192;64;112;3.64;301.9090
inc1_o5_2d;8192;128;112;2.93;375.4217
inc1_o5_2d;8192;128;112;2.93;375.7586
inc1_o5_2d;8192;128;112;2.93;375.1861
inc1_o5_2d;16384;32;56;79.50;110.6470
inc1_o5_2d;16384;32;56;41.05;214.2562
inc1_o5_2d;16384;32;56;42.16;208.6553
inc1_o5_2d;16384;64;56;103.81;84.7357
inc1_o5_2d;16384;64;56;106.61;82.5044
inc1_o5_2d;16384;64;56;106.24;82.7964
inc1_o5_2d;16384;128;56;85.96;102.3336
inc1_o5_2d;16384;128;56;89.40;98.3933
inc1_o5_2d;16384;128;56;89.31;98.4872
inc1_o5_2d;16384;32;112;55.58;158.2524
inc1_o5_2d;16384;32;112;48.59;181.0392
inc1_o5_2d;16384;32;112;61.29;143.5168
inc1_o5_2d;16384;64;112;59.87;146.9099
inc1_o5_2d;16384;64;112;57.39;153.2696
inc1_o5_2d;16384;64;112;56.36;156.0803
inc1_o5_2d;16384;128;112;47.77;184.1374
inc1_o5_2d;16384;128;112;45.20;194.5845
inc1_o5_2d;16384;128;112;45.51;193.2771
inc1_o6_2d;4096;32;56;0.54;255.1493
inc1_o6_2d;4096;32;56;0.54;256.2066
inc1_o6_2d;4096;32;56;0.54;256.5265
inc1_o6_2d;4096;64;56;0.39;356.0725
inc1_o6_2d;4096;64;56;0.38;357.8439
inc1_o6_2d;4096;64;56;0.39;354.6218
inc1_o6_2d;4096;128;56;0.35;389.9421
inc1_o6_2d;4096;128;56;0.35;389.0975
inc1_o6_2d;4096;128;56;0.36;384.9829
inc1_o6_2d;4096;32;112;0.64;215.0427
inc1_o6_2d;4096;32;112;0.64;213.8579
inc1_o6_2d;4096;32;112;0.64;213.2628
inc1_o6_2d;4096;64;112;0.44;314.7094
inc1_o6_2d;4096;64;112;0.44;310.0542
inc1_o6_2d;4096;64;112;0.44;315.5867
inc1_o6_2d;4096;128;112;0.39;352.6744
inc1_o6_2d;4096;128;112;0.40;347.8701
inc1_o6_2d;4096;128;112;0.39;351.7113
inc1_o6_2d;8192;32;56;3.63;302.6067
inc1_o6_2d;8192;32;56;3.63;302.5724
inc1_o6_2d;8192;32;56;3.65;301.4963
inc1_o6_2d;8192;64;56;2.55;430.9875
inc1_o6_2d;8192;64;56;2.55;431.5137
inc1_o6_2d;8192;64;56;2.55;431.7867
inc1_o6_2d;8192;128;56;2.14;514.4446
inc1_o6_2d;8192;128;56;2.15;512.1063
inc1_o6_2d;8192;128;56;2.15;512.2970
inc1_o6_2d;8192;32;112;3.68;298.9703
inc1_o6_2d;8192;32;112;3.70;296.8961
inc1_o6_2d;8192;32;112;3.73;295.0821
inc1_o6_2d;8192;64;112;2.67;411.1578
inc1_o6_2d;8192;64;112;2.68;410.5749
inc1_o6_2d;8192;64;112;2.67;411.9198
inc1_o6_2d;8192;128;112;2.19;501.7542
inc1_o6_2d;8192;128;112;2.19;501.1406
inc1_o6_2d;8192;128;112;2.18;504.0778
inc1_o6_2d;16384;32;56;24.84;354.1514
inc1_o6_2d;16384;32;56;24.84;354.1648
inc1_o6_2d;16384;32;56;24.61;357.3581
inc1_o6_2d;16384;64;56;18.26;481.6254
inc1_o6_2d;16384;64;56;18.17;484.1069
inc1_o6_2d;16384;64;56;18.17;484.2234
inc1_o6_2d;16384;128;56;15.99;550.2639
inc1_o6_2d;16384;128;56;15.79;557.1800
inc1_o6_2d;16384;128;56;15.89;553.4119
inc1_o6_2d;16384;32;112;23.88;368.3334
inc1_o6_2d;16384;32;112;23.65;371.8761
inc1_o6_2d;16384;32;112;23.66;371.7715
inc1_o6_2d;16384;64;112;18.51;475.2507
inc1_o6_2d;16384;64;112;18.49;475.6785
inc1_o6_2d;16384;64;112;18.50;475.5295
inc1_o6_2d;16384;128;112;16.15;544.8040
inc1_o6_2d;16384;128;112;16.13;545.4235
inc1_o6_2d;16384;128;112;16.22;542.3251

