
Version;N;BS;T;Exec time;GFlops
inc1_o5_2d;4096;32;56;0.34;406.1553
inc1_o5_2d;4096;32;56;0.34;408.5763
inc1_o5_2d;4096;32;56;0.34;408.6554
inc1_o5_2d;4096;64;56;0.27;518.4261
inc1_o5_2d;4096;64;56;0.27;518.4774
inc1_o5_2d;4096;64;56;0.27;518.0431
inc1_o5_2d;4096;128;56;0.35;397.3695
inc1_o5_2d;4096;128;56;0.35;396.3861
inc1_o5_2d;4096;128;56;0.35;398.0967
inc1_o5_2d;4096;32;112;0.46;301.2334
inc1_o5_2d;4096;32;112;0.46;297.7846
inc1_o5_2d;4096;32;112;0.46;301.8911
inc1_o5_2d;4096;64;112;0.32;431.2202
inc1_o5_2d;4096;64;112;0.32;432.4511
inc1_o5_2d;4096;64;112;0.33;422.2447
inc1_o5_2d;4096;128;112;0.41;336.7571
inc1_o5_2d;4096;128;112;0.41;336.6424
inc1_o5_2d;4096;128;112;0.41;337.9852
inc1_o5_2d;8192;32;56;6.19;177.6988
inc1_o5_2d;8192;32;56;6.19;177.6906
inc1_o5_2d;8192;32;56;6.20;177.3397
inc1_o5_2d;8192;64;56;1.99;552.4318
inc1_o5_2d;8192;64;56;1.99;551.7288
inc1_o5_2d;8192;64;56;1.99;551.1599
inc1_o5_2d;8192;128;56;2.67;411.9956
inc1_o5_2d;8192;128;56;2.70;407.5384
inc1_o5_2d;8192;128;56;2.68;411.0015
inc1_o5_2d;8192;32;112;4.01;274.4912
inc1_o5_2d;8192;32;112;4.00;274.6228
inc1_o5_2d;8192;32;112;4.00;274.5539
inc1_o5_2d;8192;64;112;2.15;510.7617
inc1_o5_2d;8192;64;112;2.15;512.5716
inc1_o5_2d;8192;64;112;2.15;510.4615
inc1_o5_2d;8192;128;112;2.55;431.6452
inc1_o5_2d;8192;128;112;2.55;431.1934
inc1_o5_2d;8192;128;112;2.55;430.7925
inc1_o5_2d;16384;32;56;104.54;84.1446
inc1_o5_2d;16384;32;56;90.05;97.6806
inc1_o5_2d;16384;32;56;93.86;93.7179
inc1_o5_2d;16384;64;56;94.14;93.4328
inc1_o5_2d;16384;64;56;92.74;94.8423
inc1_o5_2d;16384;64;56;102.26;86.0186
inc1_o5_2d;16384;128;56;87.74;100.2566
inc1_o5_2d;16384;128;56;91.90;95.7126
inc1_o5_2d;16384;128;56;94.13;93.4486
inc1_o5_2d;16384;32;112;26.98;326.0035
inc1_o5_2d;16384;32;112;30.76;285.9497
inc1_o5_2d;16384;32;112;23.03;381.9556
inc1_o5_2d;16384;64;112;47.61;184.7371
inc1_o5_2d;16384;64;112;45.91;191.5986
inc1_o5_2d;16384;64;112;54.70;160.7930
inc1_o5_2d;16384;128;112;52.43;167.7585
inc1_o5_2d;16384;128;112;48.40;181.7539
inc1_o5_2d;16384;128;112;44.86;196.0830
inc1_o6_2d;4096;32;56;0.34;401.9047
inc1_o6_2d;4096;32;56;0.34;403.4645
inc1_o6_2d;4096;32;56;0.34;404.3310
inc1_o6_2d;4096;64;56;0.27;508.1958
inc1_o6_2d;4096;64;56;0.27;505.9491
inc1_o6_2d;4096;64;56;0.27;506.2082
inc1_o6_2d;4096;128;56;0.26;522.6294
inc1_o6_2d;4096;128;56;0.26;524.1300
inc1_o6_2d;4096;128;56;0.26;526.9149
inc1_o6_2d;4096;32;112;0.42;324.8512
inc1_o6_2d;4096;32;112;0.43;321.6676
inc1_o6_2d;4096;32;112;0.43;322.8600
inc1_o6_2d;4096;64;112;0.30;451.0249
inc1_o6_2d;4096;64;112;0.31;450.3097
inc1_o6_2d;4096;64;112;0.31;448.3264
inc1_o6_2d;4096;128;112;0.28;482.4113
inc1_o6_2d;4096;128;112;0.28;484.9987
inc1_o6_2d;4096;128;112;0.28;491.8406
inc1_o6_2d;8192;32;56;2.49;441.6458
inc1_o6_2d;8192;32;56;2.49;441.3453
inc1_o6_2d;8192;32;56;2.50;440.4901
inc1_o6_2d;8192;64;56;1.66;661.7007
inc1_o6_2d;8192;64;56;1.65;665.2518
inc1_o6_2d;8192;64;56;1.66;661.8854
inc1_o6_2d;8192;128;56;1.46;754.5451
inc1_o6_2d;8192;128;56;1.45;757.1388
inc1_o6_2d;8192;128;56;1.46;754.7916
inc1_o6_2d;8192;32;112;2.60;423.0375
inc1_o6_2d;8192;32;112;2.60;423.7039
inc1_o6_2d;8192;32;112;2.59;424.4804
inc1_o6_2d;8192;64;112;1.77;620.6912
inc1_o6_2d;8192;64;112;1.77;622.3434
inc1_o6_2d;8192;64;112;1.77;622.2909
inc1_o6_2d;8192;128;112;1.40;784.8240
inc1_o6_2d;8192;128;112;1.39;789.9620
inc1_o6_2d;8192;128;112;1.40;784.9450
inc1_o6_2d;16384;32;56;16.40;536.2977
inc1_o6_2d;16384;32;56;16.04;548.3140
inc1_o6_2d;16384;32;56;16.38;537.1608
inc1_o6_2d;16384;64;56;11.36;774.2531
inc1_o6_2d;16384;64;56;11.34;776.0075
inc1_o6_2d;16384;64;56;11.33;776.1298
inc1_o6_2d;16384;128;56;10.50;837.6141
inc1_o6_2d;16384;128;56;10.47;840.3279
inc1_o6_2d;16384;128;56;10.47;840.1964
inc1_o6_2d;16384;32;112;16.18;543.7252
inc1_o6_2d;16384;32;112;16.13;545.3555
inc1_o6_2d;16384;32;112;16.00;549.6673
inc1_o6_2d;16384;64;112;11.57;760.4218
inc1_o6_2d;16384;64;112;11.57;760.2305
inc1_o6_2d;16384;64;112;11.56;760.6871
inc1_o6_2d;16384;128;112;9.85;893.3429
inc1_o6_2d;16384;128;112;9.67;909.2172
inc1_o6_2d;16384;128;112;9.75;901.7660

