
Version;N;BS;T;Exec time;GFlops
inc1_o5_2d;4096;32;56;0.71;193.3758
inc1_o5_2d;4096;32;56;0.71;194.2877
inc1_o5_2d;4096;32;56;0.71;194.4651
inc1_o5_2d;4096;64;56;0.44;311.3036
inc1_o5_2d;4096;64;56;0.44;312.7003
inc1_o5_2d;4096;64;56;0.44;310.9021
inc1_o5_2d;4096;128;56;0.44;308.9301
inc1_o5_2d;4096;128;56;0.44;309.1857
inc1_o5_2d;4096;128;56;0.44;309.1566
inc1_o5_2d;4096;32;112;0.81;168.9942
inc1_o5_2d;4096;32;112;0.81;169.9910
inc1_o5_2d;4096;32;112;0.83;165.3898
inc1_o5_2d;4096;64;112;0.47;289.4109
inc1_o5_2d;4096;64;112;0.49;281.4647
inc1_o5_2d;4096;64;112;0.49;282.9976
inc1_o5_2d;4096;128;112;0.47;295.1899
inc1_o5_2d;4096;128;112;0.47;294.4917
inc1_o5_2d;4096;128;112;0.47;295.3129
inc1_o5_2d;8192;32;56;5.79;189.9568
inc1_o5_2d;8192;32;56;5.82;189.0642
inc1_o5_2d;8192;32;56;5.82;189.0699
inc1_o5_2d;8192;64;56;6.01;182.8847
inc1_o5_2d;8192;64;56;5.98;183.8343
inc1_o5_2d;8192;64;56;6.01;182.8747
inc1_o5_2d;8192;128;56;4.74;232.1848
inc1_o5_2d;8192;128;56;4.63;237.4418
inc1_o5_2d;8192;128;56;4.77;230.6220
inc1_o5_2d;8192;32;112;6.91;159.1583
inc1_o5_2d;8192;32;112;6.90;159.4577
inc1_o5_2d;8192;32;112;6.93;158.6195
inc1_o5_2d;8192;64;112;3.61;304.8694
inc1_o5_2d;8192;64;112;3.59;306.6961
inc1_o5_2d;8192;64;112;3.59;306.0648
inc1_o5_2d;8192;128;112;2.89;379.8979
inc1_o5_2d;8192;128;112;2.89;380.2296
inc1_o5_2d;8192;128;112;2.89;380.8541
inc1_o5_2d;16384;32;56;68.21;128.9480
inc1_o5_2d;16384;32;56;59.84;146.9889
inc1_o5_2d;16384;32;56;120.03;73.2851
inc1_o5_2d;16384;64;56;29.03;302.9833
inc1_o5_2d;16384;64;56;106.11;82.8931
inc1_o5_2d;16384;64;56;107.89;81.5272
inc1_o5_2d;16384;128;56;93.99;93.5864
inc1_o5_2d;16384;128;56;60.85;144.5503
inc1_o5_2d;16384;128;56;92.29;95.3088
inc1_o5_2d;16384;32;112;45.58;192.9846
inc1_o5_2d;16384;32;112;48.79;180.2698
inc1_o5_2d;16384;32;112;51.29;171.4907
inc1_o5_2d;16384;64;112;57.43;153.1561
inc1_o5_2d;16384;64;112;60.33;145.7977
inc1_o5_2d;16384;64;112;62.48;140.7766
inc1_o5_2d;16384;128;112;46.69;188.4002
inc1_o5_2d;16384;128;112;24.01;366.4019
inc1_o5_2d;16384;128;112;47.81;183.9629

