
Version;N;BS;T;Exec time;GFlops
inc1_o5_1d;4096;32;56;0.39;352.7322
inc1_o5_1d;4096;32;56;0.39;355.2146
inc1_o5_1d;4096;32;56;0.38;359.4032
inc1_o5_1d;4096;64;56;0.25;539.2892
inc1_o5_1d;4096;64;56;0.25;541.9066
inc1_o5_1d;4096;64;56;0.26;533.9241
inc1_o5_1d;4096;128;56;0.26;521.4018
inc1_o5_1d;4096;128;56;0.26;523.4214
inc1_o5_1d;4096;128;56;0.26;520.6337
inc1_o5_1d;4096;32;112;0.40;346.5963
inc1_o5_1d;4096;32;112;0.41;338.2404
inc1_o5_1d;4096;32;112;0.41;334.4242
inc1_o5_1d;4096;64;112;0.29;478.6481
inc1_o5_1d;4096;64;112;0.29;478.4447
inc1_o5_1d;4096;64;112;0.29;476.0617
inc1_o5_1d;4096;128;112;0.29;475.2991
inc1_o5_1d;4096;128;112;0.29;477.4089
inc1_o5_1d;4096;128;112;0.29;480.3812
inc1_o5_1d;8192;32;56;6.34;173.3318
inc1_o5_1d;8192;32;56;6.34;173.4152
inc1_o5_1d;8192;32;56;6.31;174.2205
inc1_o5_1d;8192;64;56;1.95;563.4101
inc1_o5_1d;8192;64;56;1.96;562.3482
inc1_o5_1d;8192;64;56;1.94;566.9187
inc1_o5_1d;8192;128;56;1.59;693.3355
inc1_o5_1d;8192;128;56;1.59;693.1227
inc1_o5_1d;8192;128;56;1.59;692.2190
inc1_o5_1d;8192;32;112;3.82;287.7260
inc1_o5_1d;8192;32;112;3.86;284.6667
inc1_o5_1d;8192;32;112;3.85;285.3182
inc1_o5_1d;8192;64;112;2.05;535.2438
inc1_o5_1d;8192;64;112;2.06;533.6075
inc1_o5_1d;8192;64;112;2.05;535.8805
inc1_o5_1d;8192;128;112;1.63;675.6384
inc1_o5_1d;8192;128;112;1.63;675.3284
inc1_o5_1d;8192;128;112;1.63;673.9645
inc1_o5_1d;16384;32;56;109.35;80.4404
inc1_o5_1d;16384;32;56;77.35;113.7204
inc1_o5_1d;16384;32;56;116.90;75.2441
inc1_o5_1d;16384;64;56;64.12;137.1857
inc1_o5_1d;16384;64;56;64.56;136.2430
inc1_o5_1d;16384;64;56;61.76;142.4195
inc1_o5_1d;16384;128;56;76.76;114.5978
inc1_o5_1d;16384;128;56;50.42;174.4396
inc1_o5_1d;16384;128;56;74.88;117.4649
inc1_o5_1d;16384;32;112;48.90;179.8609
inc1_o5_1d;16384;32;112;54.44;161.5815
inc1_o5_1d;16384;32;112;40.39;217.8040
inc1_o5_1d;16384;64;112;43.37;202.8005
inc1_o5_1d;16384;64;112;38.92;226.0299
inc1_o5_1d;16384;64;112;39.02;225.4314
inc1_o5_1d;16384;128;112;48.84;180.1090
inc1_o5_1d;16384;128;112;49.15;178.9645
inc1_o5_1d;16384;128;112;47.63;184.6848
inc1_o5_2d;4096;32;56;0.39;352.2632
inc1_o5_2d;4096;32;56;0.39;350.1468
inc1_o5_2d;4096;32;56;0.39;352.6880
inc1_o5_2d;4096;64;56;0.35;398.1476
inc1_o5_2d;4096;64;56;0.34;399.0201
inc1_o5_2d;4096;64;56;0.35;397.1122
inc1_o5_2d;4096;128;56;0.28;490.5343
inc1_o5_2d;4096;128;56;0.28;491.7508
inc1_o5_2d;4096;128;56;0.28;489.3206
inc1_o5_2d;4096;32;112;0.41;333.2135
inc1_o5_2d;4096;32;112;0.41;336.8801
inc1_o5_2d;4096;32;112;0.41;335.6330
inc1_o5_2d;4096;64;112;0.37;370.9245
inc1_o5_2d;4096;64;112;0.37;368.9500
inc1_o5_2d;4096;64;112;0.37;374.1128
inc1_o5_2d;4096;128;112;0.30;459.5301
inc1_o5_2d;4096;128;112;0.30;460.6851
inc1_o5_2d;4096;128;112;0.30;457.4131
inc1_o5_2d;8192;32;56;6.27;175.2579
inc1_o5_2d;8192;32;56;6.23;176.5763
inc1_o5_2d;8192;32;56;6.33;173.7145
inc1_o5_2d;8192;64;56;2.97;370.2184
inc1_o5_2d;8192;64;56;3.06;358.8017
inc1_o5_2d;8192;64;56;3.01;365.6338
inc1_o5_2d;8192;128;56;1.64;668.8955
inc1_o5_2d;8192;128;56;1.65;665.8066
inc1_o5_2d;8192;128;56;1.65;666.4369
inc1_o5_2d;8192;32;112;3.85;285.7549
inc1_o5_2d;8192;32;112;3.87;284.4125
inc1_o5_2d;8192;32;112;3.88;283.4225
inc1_o5_2d;8192;64;112;2.47;444.3259
inc1_o5_2d;8192;64;112;2.47;445.3958
inc1_o5_2d;8192;64;112;2.48;443.9944
inc1_o5_2d;8192;128;112;1.69;650.9518
inc1_o5_2d;8192;128;112;1.69;650.7877
inc1_o5_2d;8192;128;112;1.68;653.5174

inc1_o5_2d;16384;64;56;55.40;158.7820
inc1_o5_2d;16384;64;56;80.02;109.9170
inc1_o5_2d;16384;64;56;81.39;108.0671
inc1_o5_2d;16384;128;56;47.75;184.2067
inc1_o5_2d;16384;128;56;47.77;184.1397
inc1_o5_2d;16384;128;56;47.80;184.0211

inc1_o5_2d;16384;64;112;48.53;181.2512
inc1_o5_2d;16384;64;112;40.98;214.6250
inc1_o5_2d;16384;64;112;35.53;247.5548
inc1_o5_2d;16384;128;112;48.05;183.0636
inc1_o5_2d;16384;128;112;39.81;220.9417
inc1_o5_2d;16384;128;112;49.04;179.3637

