
Version;N;BS;T;Exec time;GFlops
inc1_o5_2d;4096;32;56;0.34;401.2722
inc1_o5_2d;4096;32;56;0.35;395.5134
inc1_o5_2d;4096;32;56;0.34;401.1889
inc1_o5_2d;4096;64;56;0.26;531.6128
inc1_o5_2d;4096;64;56;0.26;532.1419
inc1_o5_2d;4096;64;56;0.26;532.5046
inc1_o5_2d;4096;128;56;0.27;505.6731
inc1_o5_2d;4096;128;56;0.27;506.1406
inc1_o5_2d;4096;128;56;0.27;505.2233
inc1_o5_2d;4096;32;112;0.41;335.0273
inc1_o5_2d;4096;32;112;0.41;332.9424
inc1_o5_2d;4096;32;112;0.40;341.0032
inc1_o5_2d;4096;64;112;0.29;473.1347
inc1_o5_2d;4096;64;112;0.29;474.6932
inc1_o5_2d;4096;64;112;0.29;475.4061
inc1_o5_2d;4096;128;112;0.29;480.9138
inc1_o5_2d;4096;128;112;0.28;483.1285
inc1_o5_2d;4096;128;112;0.29;481.7654
inc1_o5_2d;8192;32;56;5.97;184.1804
inc1_o5_2d;8192;32;56;5.94;184.9914
inc1_o5_2d;8192;32;56;5.97;184.1255
inc1_o5_2d;8192;64;56;1.96;559.9537
inc1_o5_2d;8192;64;56;1.97;559.3117
inc1_o5_2d;8192;64;56;1.97;557.6773
inc1_o5_2d;8192;128;56;1.63;675.6509
inc1_o5_2d;8192;128;56;1.63;675.6849
inc1_o5_2d;8192;128;56;1.63;675.5462
inc1_o5_2d;8192;32;112;3.89;282.9938
inc1_o5_2d;8192;32;112;3.88;283.5186
inc1_o5_2d;8192;32;112;3.87;284.1540
inc1_o5_2d;8192;64;112;2.08;529.7516
inc1_o5_2d;8192;64;112;2.09;525.0493
inc1_o5_2d;8192;64;112;2.09;526.5452
inc1_o5_2d;8192;128;112;1.64;669.8747
inc1_o5_2d;8192;128;112;1.66;663.0506
inc1_o5_2d;8192;128;112;1.64;669.1083
inc1_o5_2d;16384;32;56;63.37;138.8047
inc1_o5_2d;16384;32;56;58.92;149.2880
inc1_o5_2d;16384;32;56;25.14;349.8908
inc1_o5_2d;16384;64;56;103.15;85.2741
inc1_o5_2d;16384;64;56;31.44;279.7711
inc1_o5_2d;16384;64;56;103.36;85.1020
inc1_o5_2d;16384;128;56;95.01;92.5847
inc1_o5_2d;16384;128;56;94.26;93.3204
inc1_o5_2d;16384;128;56;69.13;127.2327
inc1_o5_2d;16384;32;112;32.90;267.3625
inc1_o5_2d;16384;32;112;34.41;255.6270
inc1_o5_2d;16384;32;112;33.17;265.2041
inc1_o5_2d;16384;64;112;15.34;573.3440
inc1_o5_2d;16384;64;112;15.35;572.9863
inc1_o5_2d;16384;64;112;15.33;573.7806
inc1_o5_2d;16384;128;112;53.28;165.0970
inc1_o5_2d;16384;128;112;47.15;186.5453
inc1_o5_2d;16384;128;112;46.12;190.7072

