
Version;N;BS;T;Exec time;GFlops
inc_1;4096;32;56;0.53;261.0779
inc_1;4096;32;56;0.53;261.5304
inc_1;4096;32;56;0.53;260.9489
inc_1;4096;64;56;0.37;370.9292
inc_1;4096;64;56;0.37;371.4649
inc_1;4096;64;56;0.37;370.3285
inc_1;4096;128;56;0.43;321.4127
inc_1;4096;128;56;0.43;323.1623
inc_1;4096;128;56;0.43;320.8949
inc_1;4096;32;112;0.61;224.5306
inc_1;4096;32;112;0.61;225.9127
inc_1;4096;32;112;0.61;225.0036
inc_1;4096;64;112;0.40;347.2128
inc_1;4096;64;112;0.40;345.9378
inc_1;4096;64;112;0.40;346.8272
inc_1;4096;128;112;0.45;306.9595
inc_1;4096;128;112;0.45;305.7304
inc_1;4096;128;112;0.44;310.2634
inc_1;8192;32;56;3.65;301.0449
inc_1;8192;32;56;3.66;300.5937
inc_1;8192;32;56;3.65;300.9327
inc_1;8192;64;56;2.48;444.0659
inc_1;8192;64;56;2.48;443.7482
inc_1;8192;64;56;2.48;443.8969
inc_1;8192;128;56;2.77;396.6506
inc_1;8192;128;56;2.77;396.5605
inc_1;8192;128;56;2.77;396.3704
inc_1;8192;32;112;3.84;285.9779
inc_1;8192;32;112;3.84;286.3259
inc_1;8192;32;112;3.84;286.3471
inc_1;8192;64;112;2.57;427.3355
inc_1;8192;64;112;2.57;427.4224
inc_1;8192;64;112;2.56;428.7618
inc_1;8192;128;112;2.78;396.0213
inc_1;8192;128;112;2.77;396.5120
inc_1;8192;128;112;2.77;396.8527
inc_1;16384;32;56;24.08;365.3591
inc_1;16384;32;56;23.57;373.2538
inc_1;16384;32;56;24.13;364.4575
inc_1;16384;64;56;17.69;497.1577
inc_1;16384;64;56;17.77;495.0465
inc_1;16384;64;56;17.50;502.4963
inc_1;16384;128;56;21.40;410.9768
inc_1;16384;128;56;21.35;411.9357
inc_1;16384;128;56;21.33;412.4208
inc_1;16384;32;112;25.07;350.7968
inc_1;16384;32;112;25.22;348.7303
inc_1;16384;32;112;25.19;349.1980
inc_1;16384;64;112;18.01;488.4759
inc_1;16384;64;112;18.00;488.5649
inc_1;16384;64;112;18.00;488.6094
inc_1;16384;128;112;21.41;410.9121
inc_1;16384;128;112;21.44;410.3181
inc_1;16384;128;112;21.45;410.1640

