
Version;N;BS;T;Exec time;GFlops
inc1_o6_2d;4096;32;56;0.52;262.7765
inc1_o6_2d;4096;32;56;0.52;262.8091
inc1_o6_2d;4096;32;56;0.52;262.9229
inc1_o6_2d;4096;64;56;0.38;365.8140
inc1_o6_2d;4096;64;56;0.37;367.4671
inc1_o6_2d;4096;64;56;0.37;366.6025
inc1_o6_2d;4096;128;56;0.43;321.4209
inc1_o6_2d;4096;128;56;0.43;320.5020
inc1_o6_2d;4096;128;56;0.43;321.1303
inc1_o6_2d;4096;32;112;0.58;236.8927
inc1_o6_2d;4096;32;112;0.58;236.8196
inc1_o6_2d;4096;32;112;0.58;236.0213
inc1_o6_2d;4096;64;112;0.40;344.3103
inc1_o6_2d;4096;64;112;0.41;337.6348
inc1_o6_2d;4096;64;112;0.40;342.6150
inc1_o6_2d;4096;128;112;0.44;309.2554
inc1_o6_2d;4096;128;112;0.44;310.1900
inc1_o6_2d;4096;128;112;0.45;306.9773
inc1_o6_2d;8192;32;56;3.58;306.7651
inc1_o6_2d;8192;32;56;3.58;307.4755
inc1_o6_2d;8192;32;56;3.56;308.6568
inc1_o6_2d;8192;64;56;2.51;438.9212
inc1_o6_2d;8192;64;56;2.51;438.7023
inc1_o6_2d;8192;64;56;2.50;439.3449
inc1_o6_2d;8192;128;56;2.84;387.5213
inc1_o6_2d;8192;128;56;2.82;390.4481
inc1_o6_2d;8192;128;56;2.81;390.8567
inc1_o6_2d;8192;32;112;3.57;307.6886
inc1_o6_2d;8192;32;112;3.57;307.7293
inc1_o6_2d;8192;32;112;3.57;308.1100
inc1_o6_2d;8192;64;112;2.59;424.3475
inc1_o6_2d;8192;64;112;2.60;423.4389
inc1_o6_2d;8192;64;112;2.60;423.1316
inc1_o6_2d;8192;128;112;2.80;393.0522
inc1_o6_2d;8192;128;112;2.80;392.6596
inc1_o6_2d;8192;128;112;2.80;392.2655
inc1_o6_2d;16384;32;56;24.33;361.4705
inc1_o6_2d;16384;32;56;24.58;357.8010
inc1_o6_2d;16384;32;56;24.39;360.6162
inc1_o6_2d;16384;64;56;18.16;484.4725
inc1_o6_2d;16384;64;56;18.15;484.5866
inc1_o6_2d;16384;64;56;18.15;484.6761
inc1_o6_2d;16384;128;56;21.63;406.6921
inc1_o6_2d;16384;128;56;21.63;406.6918
inc1_o6_2d;16384;128;56;21.63;406.6044
inc1_o6_2d;16384;32;112;23.35;376.6418
inc1_o6_2d;16384;32;112;23.31;377.3131
inc1_o6_2d;16384;32;112;23.36;376.5933
inc1_o6_2d;16384;64;112;18.26;481.7182
inc1_o6_2d;16384;64;112;18.53;474.5760
inc1_o6_2d;16384;64;112;18.33;479.8898
inc1_o6_2d;16384;128;112;21.60;407.1927
inc1_o6_2d;16384;128;112;21.56;407.8997
inc1_o6_2d;16384;128;112;21.48;409.4193

