
Version;N;BS;T;Exec time;GFlops
inc_1;4096;32;56;0.34;401.9002
inc_1;4096;32;56;0.34;400.6115
inc_1;4096;32;56;0.34;404.6213
inc_1;4096;64;56;0.28;499.6470
inc_1;4096;64;56;0.27;503.5097
inc_1;4096;64;56;0.27;502.0893
inc_1;4096;128;56;0.35;397.5580
inc_1;4096;128;56;0.35;398.1429
inc_1;4096;128;56;0.34;399.7667
inc_1;4096;32;112;0.37;372.1426
inc_1;4096;32;112;0.37;372.4734
inc_1;4096;32;112;0.37;370.7451
inc_1;4096;64;112;0.28;490.7323
inc_1;4096;64;112;0.28;496.5748
inc_1;4096;64;112;0.28;494.8169
inc_1;4096;128;112;0.38;357.5684
inc_1;4096;128;112;0.39;354.4323
inc_1;4096;128;112;0.39;354.8167
inc_1;8192;32;56;2.39;460.3967
inc_1;8192;32;56;2.39;460.2246
inc_1;8192;32;56;2.40;458.3263
inc_1;8192;64;56;1.70;647.1827
inc_1;8192;64;56;1.70;647.3897
inc_1;8192;64;56;1.70;646.5427
inc_1;8192;128;56;2.17;507.3619
inc_1;8192;128;56;2.18;505.4521
inc_1;8192;128;56;2.17;506.7762
inc_1;8192;32;112;2.41;456.7544
inc_1;8192;32;112;2.41;456.2005
inc_1;8192;32;112;2.42;454.4616
inc_1;8192;64;112;1.74;631.9186
inc_1;8192;64;112;1.73;636.8144
inc_1;8192;64;112;1.74;633.6515
inc_1;8192;128;112;2.41;456.1165
inc_1;8192;128;112;2.41;455.8124
inc_1;8192;128;112;2.41;455.4278
inc_1;16384;32;56;15.77;557.9005
inc_1;16384;32;56;15.13;581.4108
inc_1;16384;32;56;15.15;580.7212
inc_1;16384;64;56;12.35;712.0089
inc_1;16384;64;56;12.31;714.2778
inc_1;16384;64;56;12.36;711.8261
inc_1;16384;128;56;16.61;529.6156
inc_1;16384;128;56;16.61;529.5537
inc_1;16384;128;56;16.62;529.2446
inc_1;16384;32;112;15.48;568.2237
inc_1;16384;32;112;15.78;557.4245
inc_1;16384;32;112;15.42;570.5211
inc_1;16384;64;112;11.98;734.0269
inc_1;16384;64;112;11.99;733.7838
inc_1;16384;64;112;12.02;731.9472
inc_1;16384;128;112;18.61;472.5594
inc_1;16384;128;112;18.60;472.8318
inc_1;16384;128;112;18.59;473.1286

