
Version;N;BS;T;Exec time;GFlops
inc_1;4096;32;56;0.38;360.1243
inc_1;4096;32;56;0.38;361.0448
inc_1;4096;32;56;0.38;359.1654
inc_1;4096;64;56;0.29;478.7176
inc_1;4096;64;56;0.29;478.6512
inc_1;4096;64;56;0.29;473.3201
inc_1;4096;128;56;0.26;529.4970
inc_1;4096;128;56;0.26;532.0019
inc_1;4096;128;56;0.26;526.1219
inc_1;4096;32;112;0.39;351.7329
inc_1;4096;32;112;0.38;358.6219
inc_1;4096;32;112;0.39;348.8273
inc_1;4096;64;112;0.28;498.0266
inc_1;4096;64;112;0.28;498.3624
inc_1;4096;64;112;0.28;496.7614
inc_1;4096;128;112;0.27;516.5734
inc_1;4096;128;112;0.27;514.4904
inc_1;4096;128;112;0.27;512.2206
inc_1;8192;32;56;2.58;425.8543
inc_1;8192;32;56;2.59;425.0746
inc_1;8192;32;56;2.58;426.0659
inc_1;8192;64;56;1.74;630.8225
inc_1;8192;64;56;1.73;634.1954
inc_1;8192;64;56;1.74;630.1508
inc_1;8192;128;56;1.47;749.7624
inc_1;8192;128;56;1.47;749.0280
inc_1;8192;128;56;1.47;749.6402
inc_1;8192;32;112;2.54;433.1834
inc_1;8192;32;112;2.54;432.8890
inc_1;8192;32;112;2.54;432.2554
inc_1;8192;64;112;1.71;642.8535
inc_1;8192;64;112;1.71;641.1409
inc_1;8192;64;112;1.71;642.8517
inc_1;8192;128;112;1.35;811.4949
inc_1;8192;128;112;1.36;806.8874
inc_1;8192;128;112;1.36;810.0709
inc_1;16384;32;56;inc_1;16384;32;56;inc_1;16384;32;56;inc_1;16384;64;56;12.15;724.0595
inc_1;16384;64;56;12.38;710.6842
inc_1;16384;64;56;12.44;707.3082
inc_1;16384;128;56;10.41;845.2336
inc_1;16384;128;56;10.42;844.0533
inc_1;16384;128;56;10.60;829.7780
inc_1;16384;32;112;inc_1;16384;32;112;inc_1;16384;32;112;inc_1;16384;64;112;11.81;744.8825
inc_1;16384;64;112;11.81;744.7085
inc_1;16384;64;112;11.81;744.5707
inc_1;16384;128;112;9.69;907.8614
inc_1;16384;128;112;9.65;911.3521
inc_1;16384;128;112;9.92;886.8961

