
Version;N;BS;T;Exec time;GFlops
opt_3;4096;32;56;0.74;184.6074
opt_3;4096;32;56;0.75;184.4222
opt_3;4096;32;56;0.74;184.4866
#
opt_3;4096;64;56;0.63;218.3585
opt_3;4096;64;56;0.63;218.8954
opt_3;4096;64;56;0.63;218.5210
#
opt_3;4096;128;56;0.65;212.7887
opt_3;4096;128;56;0.64;213.8832
opt_3;4096;128;56;0.64;213.5830
#
opt_3;4096;32;112;0.85;162.2947
opt_3;4096;32;112;0.85;162.1479
opt_3;4096;32;112;0.85;161.7705
#
opt_3;4096;64;112;0.66;208.7986
opt_3;4096;64;112;0.66;207.0054
opt_3;4096;64;112;0.66;208.0146
#
opt_3;4096;128;112;0.65;211.0163
opt_3;4096;128;112;0.65;211.0526
opt_3;4096;128;112;0.65;212.0563
#
opt_3;8192;32;56;6.72;163.7036
opt_3;8192;32;56;6.76;162.6735
opt_3;8192;32;56;6.73;163.4088
#
opt_3;8192;64;56;31.81;34.5637
opt_3;8192;64;56;30.68;35.8404
opt_3;8192;64;56;31.81;34.5637
#
opt_3;8192;128;56;22.17;49.5946
opt_3;8192;128;56;22.24;49.4458
opt_3;8192;128;56;22.71;48.4156
#
opt_3;8192;32;112;10.13;108.4913
opt_3;8192;32;112;10.06;109.2732
opt_3;8192;32;112;10.04;109.5510
#
opt_3;8192;64;112;9.18;119.7335
opt_3;8192;64;112;9.31;118.0525
opt_3;8192;64;112;9.05;121.4414
#
opt_3;8192;128;112;7.80;140.9402
opt_3;8192;128;112;7.88;139.5631
opt_3;8192;128;112;7.87;139.7119
#
opt_3;16384;32;56;250.60;35.0999
opt_3;16384;32;56;515.95;17.0483
opt_3;16384;32;56;390.24;22.5400
#
opt_3;16384;64;56;503.44;17.4721
opt_3;16384;64;56;339.91;25.8780
opt_3;16384;64;56;513.47;17.1306
#
opt_3;16384;128;56;240.67;36.5486
opt_3;16384;128;56;450.65;19.5185
opt_3;16384;128;56;381.26;23.0714
#
opt_3;16384;32;112;122.44;71.8421
opt_3;16384;32;112;203.50;43.2238
opt_3;16384;32;112;219.52;40.0704
#
opt_3;16384;64;112;240.51;36.5733
opt_3;16384;64;112;284.68;30.8986
opt_3;16384;64;112;294.70;29.8477
#
opt_3;16384;128;112;176.17;49.9291
opt_3;16384;128;112;78.11;112.6046
opt_3;16384;128;112;240.60;36.5597
#
opt_4;4096;32;56;0.73;188.5062
opt_4;4096;32;56;0.73;189.4879
opt_4;4096;32;56;0.72;189.8325
#
opt_4;4096;64;56;0.51;268.5871
opt_4;4096;64;56;0.52;266.7962
opt_4;4096;64;56;0.51;268.7146
#
opt_4;4096;128;56;0.57;241.6539
opt_4;4096;128;56;0.56;244.1085
opt_4;4096;128;56;0.57;241.3929
#
opt_4;4096;32;112;0.86;159.2216
opt_4;4096;32;112;0.86;159.4349
