
Version;N;BS;T;Exec time;GFlops
opt_3;4096;32;56;0.61;225.0670
opt_3;4096;32;56;0.61;226.3059
opt_3;4096;32;56;0.61;226.7928
#
opt_3;4096;64;56;0.45;306.6321
opt_3;4096;64;56;0.45;307.5027
opt_3;4096;64;56;0.45;307.2607
#
opt_3;4096;128;56;0.55;248.8385
opt_3;4096;128;56;0.56;247.4719
opt_3;4096;128;56;0.55;249.6997
#
opt_3;4096;32;112;0.69;200.5193
opt_3;4096;32;112;0.68;200.7273
opt_3;4096;32;112;0.68;201.4180
#
opt_3;4096;64;112;0.50;275.7753
opt_3;4096;64;112;0.50;276.2703
opt_3;4096;64;112;0.50;276.5049
#
opt_3;4096;128;112;0.57;240.2262
opt_3;4096;128;112;0.57;239.4382
opt_3;4096;128;112;0.57;239.1969
#
opt_3;8192;32;56;46.36;23.7152
opt_3;8192;32;56;45.72;24.0502
opt_3;8192;32;56;46.14;23.8322
#
opt_3;8192;64;56;43.68;25.1732
opt_3;8192;64;56;41.83;26.2882
opt_3;8192;64;56;39.02;28.1761
#
opt_3;8192;128;56;34.56;31.8126
opt_3;8192;128;56;34.83;31.5659
opt_3;8192;128;56;35.25;31.1957
#
opt_3;8192;32;112;12.75;86.2697
opt_3;8192;32;112;11.62;94.6557
opt_3;8192;32;112;12.66;86.8603
#
opt_3;8192;64;112;3.41;322.4945
opt_3;8192;64;112;3.40;323.2620
opt_3;8192;64;112;3.41;322.7802
#
opt_3;8192;128;112;3.80;288.9738
opt_3;8192;128;112;3.79;289.9147
opt_3;8192;128;112;3.79;290.4568
#
opt_3;16384;32;56;723.23;12.1622
opt_3;16384;32;56;711.69;12.3595
opt_3;16384;32;56;724.48;12.1413
#
opt_3;16384;64;56;607.15;14.4876
opt_3;16384;64;56;641.98;13.7015
opt_3;16384;64;56;671.02;13.1086
#
opt_3;16384;128;56;454.87;19.3378
opt_3;16384;128;56;603.21;14.5821
opt_3;16384;128;56;616.97;14.2569
#
opt_3;16384;32;112;300.97;29.2259
opt_3;16384;32;112;299.23;29.3958
opt_3;16384;32;112;308.12;28.5477
#
opt_3;16384;64;112;294.41;29.8775
opt_3;16384;64;112;332.73;26.4365
opt_3;16384;64;112;297.54;29.5630
#
opt_3;16384;128;112;295.07;29.8099
opt_3;16384;128;112;305.45;28.7969
opt_3;16384;128;112;293.83;29.9363
#
opt_4;4096;32;56;0.60;230.3221
opt_4;4096;32;56;0.59;231.5288
opt_4;4096;32;56;0.59;231.2572
#
opt_4;4096;64;56;0.45;305.2856
opt_4;4096;64;56;0.45;308.6976
opt_4;4096;64;56;0.45;307.5117
#
opt_4;4096;128;56;0.51;270.0728
opt_4;4096;128;56;0.51;270.6077
opt_4;4096;128;56;0.50;272.3154
#
opt_4;4096;32;112;0.67;203.9526
opt_4;4096;32;112;0.67;206.0085
opt_4;4096;32;112;0.67;205.1453
#
opt_4;4096;64;112;0.50;275.9419
opt_4;4096;64;112;0.50;273.5049
opt_4;4096;64;112;0.50;275.9696
#
opt_4;4096;128;112;0.51;266.9671
opt_4;4096;128;112;0.52;266.6786
opt_4;4096;128;112;0.51;270.6770
#
opt_4;8192;32;56;6.57;167.4197
opt_4;8192;32;56;6.57;167.2420
opt_4;8192;32;56;6.46;170.2222
#
opt_4;8192;64;56;6.37;172.5433
opt_4;8192;64;56;6.37;172.7426
opt_4;8192;64;56;6.36;172.8637
#
opt_4;8192;128;56;5.72;192.1206
opt_4;8192;128;56;5.73;191.9828
opt_4;8192;128;56;5.73;191.7503
#
opt_4;8192;32;112;4.61;238.6279
opt_4;8192;32;112;4.62;238.1725
opt_4;8192;32;112;4.64;237.1588
#
opt_4;8192;64;112;3.32;331.0652
opt_4;8192;64;112;3.33;330.5045
opt_4;8192;64;112;3.32;331.0854
#
opt_4;8192;128;112;3.30;333.2337
opt_4;8192;128;112;3.30;333.1934
opt_4;8192;128;112;3.30;333.5847
#
opt_4;16384;32;56;121.61;72.3298
opt_4;16384;32;56;123.42;71.2710
opt_4;16384;32;56;121.32;72.5012
#
opt_4;16384;64;56;99.92;88.0332
opt_4;16384;64;56;81.89;107.4085
opt_4;16384;64;56;82.42;106.7196
#
opt_4;16384;128;56;80.17;109.7186
opt_4;16384;128;56;80.55;109.1943
opt_4;16384;128;56;79.40;110.7855
#
opt_4;16384;32;112;38.35;229.3561
opt_4;16384;32;112;31.79;276.6934
opt_4;16384;32;112;47.29;185.9991
#
opt_4;16384;64;112;33.81;260.1519
opt_4;16384;64;112;46.14;190.6409
opt_4;16384;64;112;32.57;270.0915
#
opt_4;16384;128;112;43.92;200.2812
opt_4;16384;128;112;37.22;236.3350
opt_4;16384;128;112;43.81;200.7880
#
opt_5;4096;32;56;0.53;260.9822
opt_5;4096;32;56;0.52;264.8849
opt_5;4096;32;56;0.52;264.0817
#
opt_5;4096;64;56;0.38;363.4365
opt_5;4096;64;56;0.38;364.9070
opt_5;4096;64;56;0.38;363.7568
#
opt_5;4096;128;56;0.41;337.9295
opt_5;4096;128;56;0.41;338.0716
opt_5;4096;128;56;0.40;341.2835
#
opt_5;4096;32;112;0.61;225.8496
