
Version;N;BS;T;Exec time;GFlops
opt_3;4096;32;56;0.52;262.3693
opt_3;4096;32;56;0.53;260.7326
opt_3;4096;32;56;0.52;262.8368
#
opt_3;4096;64;56;0.38;363.4924
opt_3;4096;64;56;0.38;363.9272
opt_3;4096;64;56;0.38;364.3652
#
opt_3;4096;128;56;0.39;355.0512
opt_3;4096;128;56;0.39;354.5448
opt_3;4096;128;56;0.39;352.8283
#
opt_3;4096;32;112;0.49;283.0494
opt_3;4096;32;112;0.49;283.3016
opt_3;4096;32;112;0.49;282.9225
#
opt_3;4096;64;112;0.40;341.7382
opt_3;4096;64;112;0.40;345.3734
opt_3;4096;64;112;0.41;338.8643
#
opt_3;4096;128;112;0.38;361.8709
opt_3;4096;128;112;0.38;359.4944
opt_3;4096;128;112;0.38;360.4919
#
opt_3;8192;32;56;34.11;32.2356
opt_3;8192;32;56;34.07;32.2741
opt_3;8192;32;56;34.55;31.8248
#
opt_3;8192;64;56;19.83;55.4377
opt_3;8192;64;56;19.89;55.2662
opt_3;8192;64;56;19.54;56.2674
#
opt_3;8192;128;56;15.92;69.0484
opt_3;8192;128;56;17.02;64.5977
opt_3;8192;128;56;16.63;66.1017
#
opt_3;8192;32;112;3.85;285.3037
opt_3;8192;32;112;3.85;285.8343
opt_3;8192;32;112;3.85;285.7138
#
opt_3;8192;64;112;2.59;423.9403
opt_3;8192;64;112;2.59;424.6340
opt_3;8192;64;112;2.60;422.1444
#
opt_3;8192;128;112;2.41;456.0870
opt_3;8192;128;112;2.41;455.4503
opt_3;8192;128;112;2.41;455.8576
#
opt_3;16384;32;56;465.42;18.8992
opt_3;16384;32;56;405.71;21.6809
opt_3;16384;32;56;384.57;22.8726
#
opt_3;16384;64;56;543.90;16.1721
opt_3;16384;64;56;440.36;19.9750
opt_3;16384;64;56;544.53;16.1537
#
opt_3;16384;128;56;503.78;17.4603
opt_3;16384;128;56;506.00;17.3835
opt_3;16384;128;56;496.51;17.7158
#
opt_3;16384;32;112;288.54;30.4847
opt_3;16384;32;112;289.93;30.3388
opt_3;16384;32;112;294.49;29.8692
#
opt_3;16384;64;112;243.78;36.0826
opt_3;16384;64;112;241.67;36.3967
opt_3;16384;64;112;243.45;36.1306
#
opt_3;16384;128;112;217.66;40.4122
opt_3;16384;128;112;209.71;41.9445
opt_3;16384;128;112;207.68;42.3539
#
opt_4;4096;32;56;0.44;313.8672
opt_4;4096;32;56;0.44;314.1008
opt_4;4096;32;56;0.44;310.7692
#
