
Version;N;BS;T;Exec time;GFlops
opt_3;4096;32;56;0.42;325.3417
opt_3;4096;32;56;0.42;328.8595
opt_3;4096;32;56;0.42;329.6317
#
opt_3;4096;64;56;0.27;506.3812
opt_3;4096;64;56;0.27;507.0238
opt_3;4096;64;56;0.27;502.9365
#
opt_3;4096;128;56;0.36;384.4909
opt_3;4096;128;56;0.36;385.7232
opt_3;4096;128;56;0.36;386.0428
#
opt_3;4096;32;112;0.41;331.5425
opt_3;4096;32;112;0.41;336.5467
opt_3;4096;32;112;0.41;335.8141
#
opt_3;4096;64;112;0.31;437.8194
opt_3;4096;64;112;0.31;440.1229
opt_3;4096;64;112;0.31;440.1596
#
opt_3;4096;128;112;0.37;367.1089
opt_3;4096;128;112;0.38;362.7583
opt_3;4096;128;112;0.37;367.3827
#
opt_3;8192;32;56;38.40;28.6322
opt_3;8192;32;56;38.53;28.5336
opt_3;8192;32;56;39.37;27.9278
#
opt_3;8192;64;56;1.95;563.8556
opt_3;8192;64;56;1.95;562.9399
opt_3;8192;64;56;1.95;563.6732
#
opt_3;8192;128;56;13.88;79.2154
opt_3;8192;128;56;13.83;79.4984
opt_3;8192;128;56;13.86;79.3582
#
opt_3;8192;32;112;2.90;378.9100
opt_3;8192;32;112;2.90;378.9817
opt_3;8192;32;112;2.91;377.9611
#
opt_3;8192;64;112;2.06;534.2378
opt_3;8192;64;112;2.06;533.4294
opt_3;8192;64;112;2.06;533.0743
#
opt_3;8192;128;112;2.43;452.4888
opt_3;8192;128;112;2.43;452.6889
opt_3;8192;128;112;2.43;452.4607
#
opt_3;16384;32;56;472.69;18.6084
opt_3;16384;32;56;336.47;26.1423
opt_3;16384;32;56;560.41;15.6957
#
opt_3;16384;64;56;338.97;25.9496
opt_3;16384;64;56;531.26;16.5570
opt_3;16384;64;56;353.29;24.8979
#
opt_3;16384;128;56;364.40;24.1384
opt_3;16384;128;56;455.14;19.3261
opt_3;16384;128;56;363.55;24.1953
#
opt_3;16384;32;112;18.02;488.1243
opt_3;16384;32;112;19.19;458.2708
opt_3;16384;32;112;48.07;182.9758
#
opt_3;16384;64;112;307.60;28.5955
opt_3;16384;64;112;309.77;28.3956
opt_3;16384;64;112;307.23;28.6305
#
opt_3;16384;128;112;190.76;46.1115
opt_3;16384;128;112;207.61;42.3681
opt_3;16384;128;112;156.32;56.2713
#
opt_4;4096;32;56;0.40;343.0708
opt_4;4096;32;56;0.40;342.9312
opt_4;4096;32;56;0.40;339.4367
#
opt_4;4096;64;56;0.27;507.5163
opt_4;4096;64;56;0.27;509.7846
opt_4;4096;64;56;0.27;509.4350
#
opt_4;4096;128;56;0.30;458.5471
opt_4;4096;128;56;0.30;457.3128
opt_4;4096;128;56;0.30;460.4243
#
opt_4;4096;32;112;0.41;334.7720
opt_4;4096;32;112;0.41;338.4762
opt_4;4096;32;112;0.41;335.0037
#
opt_4;4096;64;112;0.30;450.6668
opt_4;4096;64;112;0.31;448.9987
opt_4;4096;64;112;0.31;444.0648
#
opt_4;4096;128;112;0.30;452.6050
opt_4;4096;128;112;0.31;449.8673
opt_4;4096;128;112;0.31;448.3440
#
opt_4;8192;32;56;6.05;181.7422
opt_4;8192;32;56;6.07;181.2588
opt_4;8192;32;56;6.11;179.9523
#
opt_4;8192;64;56;1.93;568.3027
opt_4;8192;64;56;1.93;568.7777
opt_4;8192;64;56;1.93;569.2374
#
opt_4;8192;128;56;1.86;589.7105
opt_4;8192;128;56;1.86;589.8687
opt_4;8192;128;56;1.86;589.9544
#
opt_4;8192;32;112;2.86;384.0765
opt_4;8192;32;112;2.89;380.5916
opt_4;8192;32;112;2.88;382.0484
#
opt_4;8192;64;112;2.03;540.9382
opt_4;8192;64;112;2.03;541.8574
opt_4;8192;64;112;2.02;544.0380
#
opt_4;8192;128;112;1.84;597.0999
opt_4;8192;128;112;1.84;596.2984
opt_4;8192;128;112;1.84;596.6624
#
opt_4;16384;32;56;99.27;88.6073
opt_4;16384;32;56;75.62;116.3216
opt_4;16384;32;56;120.62;72.9261
#
opt_4;16384;64;56;78.09;112.6407
opt_4;16384;64;56;46.69;188.4110
opt_4;16384;64;56;77.67;113.2445
#
opt_4;16384;128;56;73.98;118.8931
opt_4;16384;128;56;83.69;105.1093
opt_4;16384;128;56;74.48;118.1054
#
opt_4;16384;32;112;16.66;527.8921
opt_4;16384;32;112;17.13;513.5599
opt_4;16384;32;112;40.07;219.5078
#
opt_4;16384;64;112;50.88;172.8856
opt_4;16384;64;112;29.92;293.9691
opt_4;16384;64;112;51.07;172.2274
#
opt_4;16384;128;112;24.97;352.2910
opt_4;16384;128;112;52.22;168.4290
opt_4;16384;128;112;51.57;170.5653
#
opt_5;4096;32;56;0.35;396.7156
opt_5;4096;32;56;0.34;399.1200
opt_5;4096;32;56;0.34;399.0620
#
opt_5;4096;64;56;0.21;646.0692
opt_5;4096;64;56;0.21;641.7912
opt_5;4096;64;56;0.21;639.7896
#
opt_5;4096;128;56;0.25;557.5956
opt_5;4096;128;56;0.25;551.0497
opt_5;4096;128;56;0.25;553.4083
#
opt_5;4096;32;112;0.37;367.2972
opt_5;4096;32;112;0.38;364.2552
opt_5;4096;32;112;0.37;372.9798
#
opt_5;4096;64;112;0.27;507.6512
opt_5;4096;64;112;0.27;506.9864
opt_5;4096;64;112;0.27;510.9996
#
opt_5;4096;128;112;0.25;539.6069
opt_5;4096;128;112;0.25;541.9197
opt_5;4096;128;112;0.25;540.5343
#
opt_5;8192;32;56;4.84;227.3161
opt_5;8192;32;56;4.52;243.4149
opt_5;8192;32;56;5.40;203.5724
#
opt_5;8192;64;56;1.56;702.8171
opt_5;8192;64;56;1.56;704.4674
opt_5;8192;64;56;1.56;703.9654
#
opt_5;8192;128;56;1.50;733.0117
opt_5;8192;128;56;1.50;733.0737
opt_5;8192;128;56;1.50;732.3164
#
opt_5;8192;32;112;2.58;426.6601
opt_5;8192;32;112;2.57;427.1290
opt_5;8192;32;112;2.58;426.5295
#
opt_5;8192;64;112;1.78;617.5165
opt_5;8192;64;112;1.78;617.2177
opt_5;8192;64;112;1.78;618.4763
#
opt_5;8192;128;112;1.54;714.4144
opt_5;8192;128;112;1.54;713.1822
opt_5;8192;128;112;1.54;712.5126
#
opt_5;16384;32;56;79.24;111.0106
opt_5;16384;32;56;118.74;74.0789
opt_5;16384;32;56;118.25;74.3837
#
opt_5;16384;64;56;52.68;166.9857
opt_5;16384;64;56;53.26;165.1400
opt_5;16384;64;56;53.02;165.8859
#
opt_5;16384;128;56;55.27;159.1470
opt_5;16384;128;56;80.99;108.6093
opt_5;16384;128;56;55.39;158.8147
#
opt_5;16384;32;112;16.28;540.2353
opt_5;16384;32;112;14.93;589.0443
opt_5;16384;32;112;25.05;351.1470
#
opt_5;16384;64;112;52.96;166.0884
opt_5;16384;64;112;53.08;165.6997
opt_5;16384;64;112;53.02;165.9034
#
opt_5;16384;128;112;53.04;165.8352
opt_5;16384;128;112;52.87;166.3679
opt_5;16384;128;112;53.00;165.9590
#
opt_6;4096;32;56;0.35;397.1788
opt_6;4096;32;56;0.34;402.5215
opt_6;4096;32;56;0.34;408.1359
#
opt_6;4096;64;56;0.22;638.7993
opt_6;4096;64;56;0.21;642.6976
opt_6;4096;64;56;0.21;645.2745
#
opt_6;4096;128;56;0.25;552.9274
opt_6;4096;128;56;0.25;549.6195
opt_6;4096;128;56;0.25;551.5738
#
opt_6;4096;32;112;0.37;370.3945
opt_6;4096;32;112;0.38;357.6038
opt_6;4096;32;112;0.38;362.1274
#
opt_6;4096;64;112;0.27;516.4432
opt_6;4096;64;112;0.28;497.8698
opt_6;4096;64;112;0.27;505.4891
#
opt_6;4096;128;112;0.26;534.3744
opt_6;4096;128;112;0.26;537.2277
opt_6;4096;128;112;0.26;534.8485
#
opt_6;8192;32;56;4.89;224.6616
opt_6;8192;32;56;4.90;224.4266
opt_6;8192;32;56;4.75;231.7046
#
opt_6;8192;64;56;1.56;704.8255
opt_6;8192;64;56;1.56;703.6447
opt_6;8192;64;56;1.56;703.6946
#
opt_6;8192;128;56;1.50;733.6157
opt_6;8192;128;56;1.50;732.7991
opt_6;8192;128;56;1.50;732.9936
#
opt_6;8192;32;112;2.58;426.9817
opt_6;8192;32;112;2.59;424.8688
opt_6;8192;32;112;2.58;425.9136
#
opt_6;8192;64;112;1.78;617.2881
opt_6;8192;64;112;1.79;615.8870
opt_6;8192;64;112;1.78;618.2568
#
opt_6;8192;128;112;1.54;715.9006
opt_6;8192;128;112;1.54;713.9811
opt_6;8192;128;112;1.53;716.2947
#
opt_6;16384;32;56;119.53;73.5890
opt_6;16384;32;56;118.98;73.9297
opt_6;16384;32;56;16.57;530.8329
#
opt_6;16384;64;56;83.20;105.7181
opt_6;16384;64;56;83.63;105.1770
opt_6;16384;64;56;53.27;165.1220
#
opt_6;16384;128;56;81.38;108.0905
opt_6;16384;128;56;55.22;159.3062
opt_6;16384;128;56;55.38;158.8194
#
opt_6;16384;32;112;15.01;586.1415
opt_6;16384;32;112;23.78;369.8647
opt_6;16384;32;112;14.89;590.5956
#
opt_6;16384;64;112;53.17;165.4307
opt_6;16384;64;112;51.15;171.9756
opt_6;16384;64;112;53.10;165.6489
#
opt_6;16384;128;112;52.46;167.6605
opt_6;16384;128;112;53.01;165.9228
opt_6;16384;128;112;53.00;165.9527
#
opt_7_8;4096;32;56;0.91;151.0625
opt_7_8;4096;32;56;0.92;149.0218
opt_7_8;4096;32;56;0.93;147.2272
#
opt_7_8;4096;64;56;0.82;167.4312
opt_7_8;4096;64;56;0.82;167.2296
opt_7_8;4096;64;56;0.82;167.2241
#
opt_7_8;4096;128;56;0.81;169.9585
opt_7_8;4096;128;56;0.81;170.0430
opt_7_8;4096;128;56;0.81;170.2948
#
opt_7_8;4096;32;112;0.96;143.3440
opt_7_8;4096;32;112;0.96;143.4956
opt_7_8;4096;32;112;0.97;142.2373
#
opt_7_8;4096;64;112;0.88;156.9273
opt_7_8;4096;64;112;0.88;156.3446
opt_7_8;4096;64;112;0.88;155.6433
#
opt_7_8;4096;128;112;0.84;163.6952
opt_7_8;4096;128;112;0.84;163.3504
opt_7_8;4096;128;112;0.84;164.0332
#
opt_7_8;8192;32;56;6.54;168.1195
opt_7_8;8192;32;56;6.54;168.1092
opt_7_8;8192;32;56;6.54;168.1102
#
opt_7_8;8192;64;56;5.98;183.8337
opt_7_8;8192;64;56;5.98;183.7139
opt_7_8;8192;64;56;5.98;183.7270
#
opt_7_8;8192;128;56;5.62;195.7296
opt_7_8;8192;128;56;5.62;195.7983
opt_7_8;8192;128;56;5.61;195.9500
#
opt_7_8;8192;32;112;6.54;168.1839
opt_7_8;8192;32;112;6.57;167.4445
opt_7_8;8192;32;112;6.54;168.2079
#
opt_7_8;8192;64;112;6.19;177.5932
opt_7_8;8192;64;112;6.19;177.7272
opt_7_8;8192;64;112;6.18;177.8087
#
opt_7_8;8192;128;112;5.80;189.5199
opt_7_8;8192;128;112;5.80;189.6090
opt_7_8;8192;128;112;5.80;189.7042
#
opt_7_8;16384;32;56;48.81;180.2291
opt_7_8;16384;32;56;48.77;180.3770
opt_7_8;16384;32;56;48.76;180.3828
#
opt_7_8;16384;64;56;45.53;193.2015
opt_7_8;16384;64;56;45.54;193.1557
opt_7_8;16384;64;56;45.51;193.2588
#
opt_7_8;16384;128;56;42.60;206.4663
opt_7_8;16384;128;56;42.61;206.4117
opt_7_8;16384;128;56;42.62;206.3847
#
opt_7_8;16384;32;112;48.93;179.7656
opt_7_8;16384;32;112;48.93;179.7735
opt_7_8;16384;32;112;48.89;179.9226
#
opt_7_8;16384;64;112;47.24;186.2022
opt_7_8;16384;64;112;47.24;186.1986
opt_7_8;16384;64;112;47.23;186.2559
#
opt_7_8;16384;128;112;44.02;199.8168
opt_7_8;16384;128;112;44.04;199.7322
opt_7_8;16384;128;112;44.04;199.7361
#

