N=8192, T=2, x=10, ocurrencias=410. Tiempo en segundos 0.000237
N=8192, T=4, x=10, ocurrencias=410. Tiempo en segundos 0.000177
N=8192, T=8, x=10, ocurrencias=410. Tiempo en segundos 0.000402
N=16384, T=2, x=10, ocurrencias=819. Tiempo en segundos 0.000204
N=16384, T=4, x=10, ocurrencias=819. Tiempo en segundos 0.000240
N=16384, T=8, x=10, ocurrencias=819. Tiempo en segundos 0.000365
N=32768, T=2, x=10, ocurrencias=1638. Tiempo en segundos 0.000210
N=32768, T=4, x=10, ocurrencias=1638. Tiempo en segundos 0.000206
N=32768, T=8, x=10, ocurrencias=1638. Tiempo en segundos 0.000438
N=65536, T=2, x=10, ocurrencias=3277. Tiempo en segundos 0.000190
N=65536, T=4, x=10, ocurrencias=3277. Tiempo en segundos 0.000267
N=65536, T=8, x=10, ocurrencias=3277. Tiempo en segundos 0.000341
N=800000, T=2, x=10, ocurrencias=40000. Tiempo en segundos 0.000391
N=800000, T=4, x=10, ocurrencias=40000. Tiempo en segundos 0.000362
N=800000, T=8, x=10, ocurrencias=40000. Tiempo en segundos 0.000582
N=8000000, T=2, x=10, ocurrencias=400000. Tiempo en segundos 0.002907
N=8000000, T=4, x=10, ocurrencias=400000. Tiempo en segundos 0.002556
N=8000000, T=8, x=10, ocurrencias=400000. Tiempo en segundos 0.002599
N=80000000, T=2, x=10, ocurrencias=4000000. Tiempo en segundos 0.022730
N=80000000, T=4, x=10, ocurrencias=4000000. Tiempo en segundos 0.019473
N=80000000, T=8, x=10, ocurrencias=4000000. Tiempo en segundos 0.019325
N=800000000, T=2, x=10, ocurrencias=40000000. Tiempo en segundos 0.210429
N=800000000, T=4, x=10, ocurrencias=40000000. Tiempo en segundos 0.184438
N=800000000, T=8, x=10, ocurrencias=40000000. Tiempo en segundos 0.183729
