N=8192, T=2, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000243
N=8192, T=4, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000190
N=8192, T=8, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000497
N=16384, T=2, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000204
N=16384, T=4, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000280
N=16384, T=8, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000422
N=32768, T=2, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000244
N=32768, T=4, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000215
N=32768, T=8, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000360
N=65536, T=2, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000312
N=65536, T=4, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000238
N=65536, T=8, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000415
N=800000, T=2, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.001344
N=800000, T=4, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.000776
N=800000, T=8, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.001148
N=8000000, T=2, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.012311
N=8000000, T=4, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.006450
N=8000000, T=8, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.005230
N=80000000, T=2, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.092034
N=80000000, T=4, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.050313
N=80000000, T=8, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.044320
N=800000000, T=2, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.879598
N=800000000, T=4, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.469686
N=800000000, T=8, min: 1.000000, max: 64.000000, prom: 32.500000. Tiempo en segundos 0.440488
